SN2007on 0.006182 54.7120833333333 -35.575
filter B
54411.28453 14.192 0.007
54413.31325 13.67 0.004
54417.2052 13.158 0.008
54418.24183 13.151 0.008
54421.2075 13.104 0.006
54422.21833 13.163 0.006
54423.20494 13.263 0.006
54425.22418 13.47 0.007
54426.15644 13.606 0.008
54427.17866 13.768 0.009
54428.21678 13.957 0.007
54429.18392 14.119 0.008
54430.16787 14.285 0.009
54435.16196 15.001 0.009
54440.18856 15.48 0.009
54443.22231 15.689 0.008
54445.2233 15.78 0.008
54447.1492 15.871 0.009
54449.19361 15.949 0.009
54453.13832 16.074 0.01
54455.1139 16.124 0.009
54456.15405 16.163 0.011
54457.12102 16.183 0.011
54458.18471 16.213 0.011
54462.22076 16.313 0.009
54467.12712 16.43 0.01
54468.13332 16.464 0.011
54470.08788 16.471 0.012
54472.10858 16.543 0.013
54475.10998 16.591 0.012
54476.13697 16.615 0.012
54484.08747 16.745 0.014
54488.07259 16.855 0.015
54490.06978 16.875 0.011
54494.11035 16.94 0.01
54497.11014 16.994 0.014
54499.09598 17.034 0.016
54508.09958 17.211 0.014
filter V
54411.28453 14.167 0.007
54413.31325 13.652 0.005
54417.2052 13.118 0.006
54418.24183 13.092 0.009
54421.2075 12.96 0.009
54422.21833 12.963 0.005
54423.20494 13.041 0.008
54425.22418 13.082 0.007
54426.15644 13.153 0.009
54427.17866 13.23 0.009
54428.21678 13.328 0.007
54429.18392 13.421 0.008
54430.16787 13.502 0.009
54435.16196 13.951 0.009
54440.18856 14.445 0.008
54443.22231 14.684 0.006
54445.2233 14.806 0.007
54447.1492 14.91 0.008
54449.19361 14.996 0.01
54453.13832 15.151 0.009
54455.1139 15.226 0.008
54456.15405 15.255 0.009
54457.12102 15.284 0.008
54458.18471 15.325 0.009
54462.22076 15.462 0.008
54467.12712 15.611 0.009
54468.13332 15.652 0.012
54470.08788 15.695 0.011
54472.10858 15.771 0.013
54475.10998 15.849 0.008
54476.13697 15.891 0.01
54484.08747 16.103 0.01
54488.07259 16.232 0.011
54490.06978 16.292 0.011
54494.11035 16.392 0.009
54497.11014 16.488 0.011
54499.09598 16.565 0.02
54508.09958 16.797 0.012
filter r
54411.28453 14.176 0.008
54413.31325 13.639 0.003
54417.2052 13.093 0.005
54418.24183 13.061 0.009
54421.2075 12.966 0.007
54422.21833 12.965 0.005
54423.20494 13.022 0.007
54425.22418 13.099 0.004
54426.15644 13.192 0.007
54427.17866 13.244 0.009
54428.21678 13.321 0.005
54429.18392 13.366 0.006
54430.16787 13.418 0.006
54435.16196 13.643 0.007
54440.18856 14.096 0.007
54443.22231 14.393 0.005
54445.2233 14.528 0.006
54447.1492 14.65 0.008
54449.19361 14.769 0.008
54453.13832 14.966 0.007
54455.1139 15.053 0.008
54456.15405 15.099 0.006
54457.12102 15.139 0.007
54458.18471 15.186 0.007
54462.22076 15.36 0.006
54467.12712 15.552 0.007
54468.13332 15.587 0.008
54470.08788 15.683 0.012
54472.10858 15.741 0.012
54475.10998 15.877 0.008
54476.13697 15.917 0.01
54484.08747 16.239 0.01
54488.07259 16.403 0.011
54490.06978 16.482 0.009
54494.11035 16.647 0.009
54497.11014 16.749 0.01
54499.09598 16.842 0.009
54508.09958 17.178 0.012
filter i
54411.28453 14.338 0.009
54413.31325 13.826 0.007
54417.2052 13.388 0.007
54418.24183 13.437 0.013
54421.2075 13.439 0.011
54422.21833 13.464 0.007
54423.20494 13.565 0.007
54425.22418 13.646 0.011
54426.15644 13.715 0.008
54427.17866 13.748 0.015
54428.21678 13.791 0.01
54429.18392 13.807 0.011
54430.16787 13.799 0.011
54435.16196 13.752 0.011
54440.18856 14.08 0.01
54443.22231 14.393 0.009
54445.2233 14.541 0.009
54447.1492 14.683 0.011
54449.19361 14.809 0.011
54453.13832 15.012 0.011
54455.1139 15.112 0.011
54456.15405 15.165 0.011
54457.12102 15.208 0.011
54458.18471 15.257 0.011
54462.22076 15.429 0.01
54467.12712 15.643 0.011
54468.13332 15.684 0.012
54470.08788 15.773 0.014
54472.10858 15.836 0.015
54475.10998 15.952 0.011
54476.13697 15.989 0.014
54484.08747 16.28 0.014
54488.07259 16.425 0.014
54490.06978 16.48 0.011
54494.11035 16.611 0.011
54497.11014 16.709 0.014
54499.09598 16.749 0.014
54508.09958 17.026 0.014
