SN2006ef 0.017006 31.0812916666667 -8.72838888888889
filter BCSP9844
53979.39369 16.212 0.012
53981.29737 16.459 0.01
53986.29685 17.138 0.022
53998.29082 18.357 0.018
54001.32572 18.522 0.016
54003.30571 18.623 0.018
54008.2864 18.751 0.018
54014.19538 18.831 0.038
54036.21817 19.206 0.02
54040.19062 19.272 0.029
filter VCSP9844
53979.39369 15.877 0.006
53981.29737 15.994 0.008
53986.29685 16.321 0.009
53998.29082 17.287 0.009
54001.32572 17.464 0.009
54003.30571 17.56 0.011
54008.2864 17.757 0.011
54014.19538 17.908 0.017
54036.21817 18.529 0.013
54040.19062 18.608 0.016
filter rCSP9844
53979.39369 16.025 0.005
53981.29737 16.143 0.007
53986.29685 16.253 0.008
53998.29082 16.89 0.006
54001.32572 17.09 0.009
54003.30571 17.206 0.009
54008.2864 17.406 0.009
54014.19538 17.665 0.02
54036.21817 18.385 0.009
54040.19062 18.489 0.013
filter iCSP9844
53979.39369 16.828 0.007
53981.29737 16.893 0.009
53986.29685 16.739 0.008
53998.29082 16.977 0.008
54001.32572 17.217 0.009
54003.30571 17.342 0.012
54008.2864 17.616 0.01
54014.19538 17.883 0.017
54036.21817 18.775 0.017
54040.19062 18.921 0.023
