SN2006X 0.006322 185.725 15.8092
filter B
53775.17381 16.69 0.007
53778.35142 15.895 0.007
53780.36904 15.598 0.009
53783.21597 15.396 0.007
53784.32293 15.366 0.007
53785.29983 15.352 0.008
53786.32515 15.349 0.006
53788.31403 15.406 0.007
53790.29216 15.495 0.007
53795.27573 15.891 0.006
53798.28722 16.212 0.007
53799.28665 16.308 0.006
53802.2776 16.636 0.008
53804.26542 16.837 0.008
53805.2238 16.925 0.011
53809.22721 17.249 0.023
53815.21456 17.723 0.014
53818.27699 17.894 0.015
53819.24862 17.96 0.013
53824.23424 18.099 0.013
53831.19471 18.181 0.014
53832.26518 18.207 0.013
53835.15331 18.237 0.016
53838.18567 18.26 0.041
53841.2167 18.335 0.022
53845.14735 18.296 0.014
53850.15566 18.36 0.014
53853.15414 18.405 0.013
53858.09367 18.486 0.026
53862.16347 18.499 0.021
53866.11149 18.48 0.023
53870.12767 18.602 0.034
53872.12326 18.604 0.018
53886.062 18.812 0.009
53890.07786 18.892 0.024
53891.08194 18.862 0.025
53893.05497 18.922 0.017
53894.06435 18.879 0.027
53897.04254 18.942 0.016
53898.04634 18.96 0.016
53905.95731 19.194 0.021
filter V
53775.17381 15.487 0.005
53778.35142 14.796 0.006
53780.36904 14.514 0.006
53783.21597 14.263 0.006
53784.32293 14.207 0.006
53785.29983 14.171 0.008
53786.32515 14.138 0.006
53788.31403 14.111 0.006
53790.29216 14.113 0.006
53795.27573 14.326 0.004
53798.28722 14.544 0.006
53799.28665 14.609 0.004
53802.2776 14.776 0.006
53804.26542 14.863 0.006
53805.2238 14.911 0.006
53809.22721 15.094 0.008
53815.21456 15.481 0.007
53818.27699 15.712 0.007
53819.24862 15.777 0.008
53824.23424 15.981 0.006
53831.19471 16.206 0.009
53832.26518 16.235 0.007
53835.15331 16.319 0.007
53838.18567 16.411 0.008
53841.2167 16.496 0.009
53845.14735 16.56 0.007
53850.15566 16.704 0.006
53853.15414 16.795 0.007
53858.09367 16.92 0.009
53862.16347 17.018 0.009
53866.11149 17.108 0.009
53870.12767 17.217 0.009
53872.12326 17.251 0.01
53886.062 17.614 0.007
53890.07786 17.656 0.01
53891.08194 17.693 0.011
53893.05497 17.742 0.007
53894.06435 17.767 0.009
53897.04254 17.816 0.007
53898.04634 17.837 0.008
53905.95731 17.975 0.013
filter r
53775.17381 14.796 0.004
53778.35142 14.194 0.009
53783.21597 13.773 0.005
53784.32293 13.737 0.006
53785.29983 13.694 0.007
53786.32515 13.667 0.006
53788.31403 13.641 0.006
53790.29216 13.681 0.006
53795.27573 13.969 0.006
53798.28722 14.173 0.007
53799.28665 14.201 0.006
53802.2776 14.269 0.006
53804.26542 14.286 0.006
53805.2238 14.293 0.006
53809.22721 14.335 0.006
53815.21456 14.641 0.006
53818.27699 14.901 0.005
53819.24862 14.968 0.006
53824.23424 15.22 0.005
53831.19471 15.472 0.007
53832.26518 15.524 0.005
53835.15331 15.623 0.006
53838.18567 15.735 0.005
53841.2167 15.824 0.006
53845.14735 15.945 0.006
53850.15566 16.119 0.008
53853.15414 16.21 0.007
53858.09367 16.372 0.007
53862.16347 16.506 0.007
53866.11149 16.615 0.009
53870.12767 16.748 0.007
53872.12326 16.81 0.009
53886.062 17.261 0.004
53890.07786 17.367 0.008
53891.08194 17.398 0.008
53893.05497 17.457 0.005
53894.06435 17.49 0.008
53897.04254 17.576 0.006
53898.04634 17.56 0.006
filter i
53775.17381 14.924 0.005
53778.35142 14.174 0.006
53783.21597 13.835 0.006
53784.32293 13.82 0.008
53785.29983 13.852 0.006
53786.32515 13.879 0.006
53788.31403 13.92 0.007
53790.29216 13.963 0.005
53795.27573 14.314 0.006
53798.28722 14.496 0.007
53799.28665 14.501 0.006
53802.2776 14.438 0.007
53804.26542 14.353 0.006
53805.2238 14.325 0.007
53809.22721 14.217 0.006
53815.21456 14.313 0.007
53818.27699 14.547 0.005
53819.24862 14.626 0.01
53824.23424 14.921 0.006
53831.19471 15.238 0.009
53832.26518 15.279 0.006
53835.15331 15.386 0.006
53838.18567 15.499 0.005
53841.2167 15.624 0.006
53845.14735 15.741 0.006
53850.15566 15.945 0.008
53853.15414 16.051 0.008
53858.09367 16.223 0.007
53862.16347 16.352 0.006
53866.11149 16.49 0.008
53870.12767 16.629 0.007
53872.12326 16.666 0.009
53886.062 17.115 0.005
53890.07786 17.209 0.009
53891.08194 17.255 0.009
53893.05497 17.303 0.006
53894.06435 17.344 0.009
53897.04254 17.401 0.007
53898.04634 17.41 0.007
