SN2007bm 0.007441 171.26 -9.79828055555556
filter BCSP9844
54224.15884 14.658 0.004
54227.13997 14.721 0.004
54229.06696 14.813 0.004
54231.14957 14.959 0.004
54235.07968 15.326 0.006
54239.09785 15.814 0.005
54241.03724 16.064 0.006
54249.03689 16.912 0.014
54255.05748 17.331 0.01
54259.04623 17.523 0.01
filter VCSP9844
54224.15884 14.163 0.005
54227.13997 14.149 0.006
54229.06696 14.188 0.004
54231.14957 14.257 0.006
54235.07968 14.48 0.008
54239.09785 14.754 0.004
54241.03724 14.895 0.006
54249.03689 15.357 0.006
54255.05748 15.778 0.005
54259.04623 16.018 0.006
filter rCSP9844
54224.15884 14.001 0.007
54227.13997 14.002 0.006
54229.06696 14.022 0.003
54231.14957 14.128 0.005
54235.07968 14.395 0.009
54239.09785 14.588 0.005
54241.03724 14.638 0.005
54249.03689 14.862 0.004
54255.05748 15.264 0.004
54259.04623 15.531 0.007
filter iCSP9844
54224.15884 14.35 0.007
54227.13997 14.435 0.006
54229.06696 14.482 0.005
54231.14957 14.607 0.007
54235.07968 14.867 0.008
54239.09785 14.887 0.007
54241.03724 14.853 0.006
54249.03689 14.781 0.004
54255.05748 15.061 0.005
54259.04623 15.365 0.007
