SN2007bc 0.021851 169.811 20.809
filter B
54197.14053 16.15 0.011
54199.14677 16.083 0.011
54202.16333 16.059 0.012
54203.15375 16.116 0.014
54224.09819 18.558 0.135
54231.10962 18.901 0.022
54232.11757 18.952 0.033
54235.03558 19.046 0.022
54259.01451 19.624 0.036
filter V
54197.14053 16.026 0.008
54199.14677 15.943 0.008
54202.16333 15.927 0.006
54203.15375 15.931 0.007
54224.09819 17.17 0.017
54227.11415 17.39 0.013
54231.10962 17.683 0.013
54232.11757 17.72 0.013
54235.03558 17.902 0.012
54259.01451 18.594 0.019
filter r
54197.14053 15.999 0.01
54199.14677 15.935 0.009
54202.16333 15.922 0.008
54203.15375 15.913 0.009
54224.09819 16.802 0.015
54227.11415 16.935 0.011
54231.10962 17.258 0.012
54232.11757 17.325 0.016
54235.03558 17.497 0.011
54259.01451 18.339 0.015
filter i
54197.14053 16.407 0.015
54199.14677 16.472 0.013
54202.16333 16.568 0.014
54203.15375 16.563 0.014
54224.09819 16.971 0.021
54227.11415 17.036 0.015
54231.10962 17.358 0.017
54232.11757 17.399 0.021
54235.03558 17.626 0.016
54259.01451 18.654 0.025
