SN2009aa 0.027300 170.926167 -22.270694
filter B
1869.68 17.222 0.010
1870.83 17.007 0.009
1871.79 16.828 0.009
1872.79 16.724 0.009
1873.77 16.611 0.009
1874.71 16.544 0.008
1878.76 16.415 0.009
1879.79 16.423 0.005
1883.77 16.595 0.007
1884.73 16.669 0.012
1888.65 17.021 0.009
1898.68 18.246 0.019
1900.69 18.447 0.025
1902.67 18.643 0.036
1908.67 19.084 0.021
1911.74 19.325 0.025
1914.66 19.405 0.031
1915.65 19.420 0.028
1917.73 19.557 0.034
1928.60 19.764 0.057
1931.64 19.825 0.081
1938.65 20.003 0.048
filter V
1869.68 17.266 0.008
1870.83 17.044 0.008
1871.79 16.880 0.008
1872.79 16.748 0.008
1873.77 16.658 0.008
1874.71 16.595 0.007
1878.76 16.428 0.008
1879.79 16.417 0.006
1883.77 16.492 0.006
1884.73 16.513 0.008
1888.65 16.697 0.005
1898.68 17.396 0.010
1900.69 17.523 0.014
1902.67 17.653 0.014
1908.67 18.075 0.013
1911.74 18.282 0.014
1914.66 18.434 0.015
1915.65 18.461 0.015
1917.73 18.583 0.017
1928.60 18.858 0.026
1931.64 18.947 0.031
1938.65 19.125 0.016
filter r
1869.68 17.204 0.007
1870.83 16.979 0.007
1871.79 16.822 0.007
1872.79 16.727 0.006
1873.77 16.624 0.010
1874.71 16.562 0.006
1878.76 16.410 0.009
1879.79 16.403 0.005
1883.77 16.465 0.005
1884.73 16.504 0.007
1888.65 16.744 0.007
1898.68 17.147 0.006
1900.69 17.180 0.010
1902.67 17.273 0.010
1908.67 17.597 0.011
1911.74 17.809 0.011
1914.66 18.004 0.015
1915.65 18.043 0.014
1917.73 18.147 0.017
1928.60 18.516 0.021
1931.64 18.557 0.026
1938.65 18.840 0.020
filter i
1869.68 17.371 0.009
1870.83 17.164 0.009
1871.79 17.022 0.009
1872.79 16.945 0.008
1873.77 16.904 0.013
1874.71 16.874 0.009
1878.76 16.931 0.010
1879.79 16.995 0.008
1883.77 17.097 0.007
1884.73 17.148 0.009
1888.65 17.463 0.010
1898.68 17.507 0.009
1900.69 17.521 0.013
1902.67 17.469 0.014
1908.67 17.620 0.012
1911.74 17.821 0.013
1914.66 18.055 0.015
1915.65 18.125 0.016
1917.73 18.237 0.017
1928.60 18.727 0.025
1931.64 18.771 0.031
1938.65 19.076 0.025
