SN2005M 0.022000 144.384833 23.200750
filter B
 459.57 18.193 0.016
 460.57 18.232 0.016
 464.55 18.372 0.018
 465.61 18.423 0.016
 466.60 18.447 0.020
 472.55 18.697 0.023
 474.53 18.718 0.019
 476.52 18.783 0.022
 478.55 18.815 0.026
 479.55 18.797 0.054
 480.51 18.938 0.037
