SN2005gj 0.061600 45.299792 -0.553861
filter B
 698.70 18.253 0.015
 699.68 18.274 0.017
 702.68 18.349 0.015
 706.69 18.429 0.016
 712.65 18.466 0.062
 720.66 18.753 0.043
 725.65 18.789 0.022
 728.70 18.873 0.021
 736.62 19.009 0.022
 740.65 19.047 0.025
 741.60 19.102 0.031
 746.62 19.115 0.054
 754.59 19.121 0.027
 761.65 19.188 0.035
 763.57 19.279 0.032
 764.59 19.279 0.030
 765.57 19.265 0.035
 768.60 19.256 0.037
 773.55 19.338 0.038
 774.57 19.236 0.053
 783.55 19.432 0.037
 786.53 19.473 0.023
 795.54 19.507 0.038
filter V0
 698.70 17.552 0.010
 699.68 17.559 0.013
 702.68 17.613 0.012
 706.69 17.682 0.013
 712.65 17.764 0.012
 720.66 17.885 0.019
 725.65 17.971 0.014
 728.70 18.024 0.014
 736.62 18.141 0.014
 740.65 18.197 0.015
 741.60 18.225 0.017
 746.62 18.235 0.020
filter V
 761.65 18.415 0.020
 763.57 18.425 0.019
 764.59 18.454 0.018
 765.57 18.465 0.016
 768.60 18.495 0.020
 773.55 18.611 0.026
 774.57 18.573 0.031
 783.55 18.616 0.022
 786.53 18.657 0.023
 795.54 18.744 0.021
filter r
 698.70 17.261 0.008
 699.68 17.277 0.010
 702.68 17.300 0.008
 706.69 17.366 0.011
 712.65 17.438 0.011
 720.66 17.558 0.012
 725.65 17.617 0.010
 728.70 17.672 0.012
 736.62 17.808 0.011
 740.65 17.878 0.013
 741.60 17.889 0.011
 746.62 17.941 0.015
 754.59 18.041 0.012
 761.65 18.126 0.013
 763.57 18.125 0.012
 764.59 18.168 0.015
 765.57 18.187 0.014
 768.60 18.228 0.014
 773.55 18.252 0.017
 774.57 18.232 0.016
 783.55 18.323 0.016
 786.53 18.371 0.013
 795.54 18.436 0.020
filter i
 698.70 17.122 0.010
 699.68 17.122 0.011
 702.68 17.148 0.010
 706.69 17.189 0.013
 712.65 17.264 0.012
 720.66 17.376 0.015
 725.65 17.428 0.012
 728.70 17.467 0.015
 736.62 17.606 0.014
 740.65 17.657 0.012
 741.60 17.670 0.015
 746.62 17.740 0.016
 754.59 17.820 0.014
 761.65 17.928 0.017
 763.57 17.982 0.016
 764.59 17.970 0.016
 765.57 17.993 0.015
 768.60 17.983 0.020
 773.55 18.062 0.020
 774.57 18.096 0.021
 783.55 18.127 0.020
 786.53 18.201 0.019
 795.54 18.234 0.030
