SN2008bi 0.013400 128.972458 0.706417
filter B
1551.52 17.987 0.015
1552.61 18.055 0.015
1558.53 19.103 0.030
1560.51 19.321 0.036
1562.56 19.431 0.040
1566.56 19.834 0.040
1568.53 19.923 0.045
filter V
1551.52 17.001 0.013
1552.61 16.986 0.013
1558.53 17.617 0.017
1560.51 17.763 0.028
1562.56 17.961 0.033
1566.56 18.421 0.023
1568.53 18.518 0.020
1569.56 18.436 0.030
1570.52 18.602 0.026
1573.53 18.750 0.027
1575.57 18.789 0.044
1576.50 18.750 0.050
1578.51 18.837 0.042
1595.52 19.463 0.047
filter r
1551.52 16.727 0.013
1552.61 16.738 0.012
1558.53 17.042 0.024
1560.51 17.256 0.017
1562.56 17.577 0.020
1564.52 17.495 0.035
1566.56 17.913 0.023
1568.53 18.111 0.023
1569.56 18.364 0.030
1570.52 18.245 0.021
1572.50 18.319 0.021
1573.53 18.415 0.019
1575.57 18.480 0.024
1576.50 18.616 0.023
filter i
1551.52 16.791 0.015
1552.61 16.801 0.016
1558.53 16.848 0.041
1560.51 17.189 0.022
1562.56 17.349 0.021
1564.52 17.378 0.025
1566.56 17.692 0.029
1568.53 17.858 0.033
1569.56 17.827 0.028
1570.52 18.036 0.022
1572.50 18.079 0.035
1573.53 18.210 0.029
1575.57 18.301 0.030
1576.50 18.416 0.031
1595.52 19.140 0.052
1599.54 19.407 0.061
1628.47 19.749 0.083
