SN2005ki 0.019200 160.117583 9.202333
filter B
 695.86 16.970 0.013
 702.83 15.729 0.008
 703.86 15.701 0.008
 706.84 15.701 0.007
 707.86 15.733 0.008
 712.84 16.035 0.007
 716.86 16.463 0.009
 720.83 17.007 0.012
 721.84 17.160 0.013
 728.85 17.987 0.016
 730.86 18.215 0.011
 736.81 18.574 0.011
 738.85 18.642 0.015
 740.85 18.712 0.015
 741.82 18.724 0.014
 745.77 18.876 0.015
 748.77 18.927 0.031
 751.81 18.941 0.044
 752.80 19.031 0.052
 761.77 19.138 0.016
 762.78 19.214 0.018
 763.78 19.199 0.026
 764.79 19.217 0.019
 765.77 19.222 0.018
 771.75 19.320 0.017
 772.84 19.330 0.021
 774.74 19.356 0.019
 775.61 19.341 0.026
 778.76 19.444 0.053
 783.69 19.514 0.046
 784.76 19.481 0.038
 795.73 19.730 0.024
 798.74 19.783 0.025
 804.74 19.841 0.048
 805.67 19.757 0.051
 818.67 20.135 0.033
 819.69 20.176 0.030
 823.64 20.256 0.032
 831.62 20.282 0.052
 838.64 20.398 0.175
 840.60 20.510 0.121
 846.64 20.573 0.045
 858.54 20.851 0.056
 861.50 20.890 0.127
filter V0
 695.86 16.965 0.009
 702.83 15.776 0.006
 703.86 15.733 0.006
 706.84 15.676 0.007
 707.86 15.691 0.006
 712.84 15.878 0.006
 716.86 16.173 0.006
 720.83 16.448 0.011
 721.84 16.496 0.010
 728.85 17.019 0.009
 730.86 17.189 0.013
 736.81 17.622 0.025
 738.85 17.720 0.011
 740.85 17.795 0.012
 741.82 17.845 0.011
 745.77 17.982 0.013
 748.77 18.046 0.014
filter V
 761.77 18.436 0.014
 762.78 18.454 0.012
 763.78 18.480 0.020
 764.79 18.492 0.015
 765.77 18.537 0.014
 771.75 18.689 0.014
 772.84 18.730 0.016
 774.74 18.785 0.016
 775.61 18.788 0.019
 778.76 18.814 0.034
 783.69 18.978 0.030
 784.76 18.986 0.020
 795.73 19.294 0.020
 798.74 19.367 0.024
 804.74 19.537 0.034
 805.67 19.502 0.044
 818.67 19.820 0.026
 819.69 19.864 0.026
 823.64 19.906 0.031
 831.62 20.087 0.045
 838.64 20.053 0.124
 840.60 20.143 0.083
 846.64 20.295 0.041
 858.54 20.525 0.057
 861.50 20.531 0.092
filter r
 695.86 16.960 0.009
 702.83 15.789 0.006
 703.86 15.751 0.006
 706.84 15.686 0.006
 707.86 15.685 0.006
 712.84 15.955 0.006
 713.85 16.058 0.006
 716.86 16.306 0.006
 720.83 16.440 0.010
 721.84 16.433 0.009
 728.85 16.651 0.008
 730.86 16.806 0.009
 736.81 17.270 0.009
 738.85 17.381 0.009
 740.85 17.464 0.009
 741.82 17.526 0.009
 745.77 17.698 0.010
 748.77 17.766 0.012
 751.81 17.908 0.014
 752.80 17.930 0.018
 754.74 18.040 0.014
 761.77 18.250 0.010
 762.78 18.309 0.011
 763.78 18.333 0.012
 764.79 18.370 0.012
 765.77 18.406 0.011
 771.75 18.634 0.011
 772.84 18.655 0.012
 774.74 18.710 0.014
 775.61 18.727 0.017
 778.76 18.863 0.031
 783.69 18.998 0.023
 784.76 19.037 0.020
 790.71 19.278 0.016
 795.73 19.451 0.020
 798.74 19.535 0.019
 804.74 19.777 0.041
 805.67 19.793 0.045
 818.67 20.165 0.029
 819.69 20.207 0.031
 823.64 20.276 0.035
 831.62 20.525 0.055
 840.60 20.792 0.091
 846.64 20.852 0.055
 858.54 21.129 0.073
filter i
 695.86 17.093 0.012
 702.83 16.160 0.007
 703.86 16.208 0.009
 706.84 16.298 0.007
 707.86 16.323 0.009
 712.84 16.711 0.009
 713.85 16.839 0.009
 716.86 17.031 0.011
 720.83 17.019 0.012
 721.84 16.968 0.010
 728.85 16.777 0.009
 730.86 16.859 0.013
 736.81 17.359 0.011
 738.85 17.510 0.010
 740.85 17.642 0.010
 741.82 17.666 0.010
 745.77 17.857 0.014
 748.77 18.020 0.015
 751.81 18.123 0.019
 752.80 18.227 0.034
 754.74 18.272 0.019
 761.77 18.564 0.016
 762.78 18.605 0.018
 763.78 18.585 0.030
 764.79 18.685 0.017
 765.77 18.695 0.017
 771.75 18.951 0.020
 772.84 18.978 0.020
 774.74 19.070 0.023
 775.61 19.120 0.028
 778.76 19.118 0.039
 783.69 19.346 0.041
 784.76 19.410 0.032
 790.71 19.638 0.030
 795.73 19.722 0.038
 798.74 19.890 0.033
 804.74 20.067 0.060
 805.67 19.971 0.058
 818.67 20.397 0.065
 819.69 20.410 0.043
 823.64 20.451 0.064
 840.60 20.740 0.121
 846.64 20.936 0.109
