SN2005iq 0.034000 359.635417 -18.709167
filter B
 682.55 17.118 0.009
 683.56 17.018 0.009
 684.60 16.937 0.009
 687.55 16.841 0.011
 689.63 16.866 0.011
 690.58 16.902 0.009
 694.62 17.166 0.009
 695.61 17.254 0.009
 698.57 17.565 0.009
 699.60 17.672 0.009
 702.61 18.044 0.011
 706.64 18.587 0.018
 716.61 19.442 0.083
 721.58 19.754 0.060
 726.60 19.952 0.050
 730.59 20.137 0.031
 738.54 20.301 0.046
 755.55 20.574 0.061
filter V0
 682.55 17.187 0.009
 683.56 17.081 0.010
 684.60 17.001 0.010
 687.55 16.871 0.009
 689.63 16.864 0.011
 690.58 16.869 0.011
 694.62 17.022 0.009
 695.61 17.077 0.010
 698.57 17.270 0.008
 699.60 17.339 0.008
 702.61 17.542 0.011
 706.64 17.822 0.011
 716.61 18.543 0.028
 721.58 18.853 0.033
 726.60 19.106 0.028
 730.59 19.239 0.021
 738.54 19.443 0.022
 746.55 19.676 0.054
filter r
 682.55 17.195 0.008
 683.56 17.099 0.010
 684.60 17.014 0.009
 687.55 16.904 0.011
 689.63 16.871 0.011
 690.58 16.900 0.010
 694.62 17.056 0.009
 695.61 17.133 0.008
 698.57 17.374 0.007
 699.60 17.439 0.007
 702.61 17.584 0.009
 706.64 17.671 0.009
 716.61 18.068 0.018
 721.58 18.470 0.015
 726.60 18.688 0.015
 730.59 18.883 0.018
 738.54 19.171 0.028
 746.55 19.412 0.031
 750.55 19.510 0.063
 755.55 19.704 0.046
filter i
 682.55 17.425 0.011
 683.56 17.348 0.012
 684.60 17.328 0.013
 687.55 17.422 0.013
 689.63 17.497 0.017
 690.58 17.495 0.012
 694.62 17.782 0.014
 695.61 17.876 0.015
 698.57 18.177 0.017
 699.60 18.247 0.017
 702.61 18.318 0.013
 706.64 18.213 0.016
 716.61 18.150 0.021
 721.58 18.557 0.023
 726.60 18.915 0.026
 730.59 19.169 0.031
 738.54 19.458 0.033
 746.55 19.718 0.053
 750.55 19.900 0.084
