SN2009le 0.017800 32.321417 -23.412444
filter B
2155.62 16.364 0.008
2156.64 16.097 0.009
2157.60 15.925 0.006
2164.65 15.414 0.005
2165.56 15.418 0.008
2166.60 15.408 0.007
2167.63 15.418 0.007
2168.61 15.448 0.011
2169.58 15.481 0.008
filter V
2155.62 16.282 0.011
2156.64 16.066 0.008
2157.60 15.901 0.006
2164.65 15.328 0.007
2165.56 15.310 0.008
2166.60 15.281 0.008
2167.63 15.285 0.009
2168.61 15.261 0.011
2169.58 15.302 0.009
filter r
2155.62 16.289 0.010
2156.64 16.056 0.009
2157.60 15.869 0.012
2164.65 15.303 0.008
2165.56 15.270 0.010
2166.60 15.260 0.012
2167.63 15.266 0.014
2168.61 15.286 0.011
2169.58 15.277 0.012
filter i
2155.62 16.603 0.012
2156.64 16.344 0.011
2157.60 16.181 0.012
2164.65 15.870 0.010
2165.56 15.875 0.011
2166.60 15.912 0.013
2167.63 15.920 0.014
2168.61 15.945 0.010
2169.58 15.982 0.013
