SN2006ob 0.059200 27.950458 0.263417
filter B
1060.65 18.413 0.012
1065.58 18.386 0.014
1073.61 19.103 0.049
1075.62 19.470 0.045
1079.65 20.034 0.036
filter V
1060.65 18.365 0.016
1065.58 18.255 0.013
1073.61 18.677 0.029
1075.62 18.796 0.029
1079.65 19.152 0.024
1084.56 19.685 0.041
1092.59 20.401 0.049
1104.56 20.811 0.120
1112.58 20.932 0.067
1121.57 21.150 0.118
filter r
1060.65 18.378 0.014
1065.58 18.224 0.011
1073.61 18.580 0.023
1075.62 18.735 0.021
1079.65 18.890 0.016
1084.56 19.165 0.024
1087.56 19.424 0.022
1092.59 19.843 0.030
1100.56 20.055 0.095
1104.56 20.356 0.060
1108.57 20.394 0.030
1112.58 20.523 0.042
1121.57 20.591 0.063
filter i
1060.65 18.607 0.019
1065.58 18.616 0.019
1073.61 19.166 0.036
1075.62 19.313 0.033
1079.65 19.132 0.031
1084.56 19.100 0.039
1087.56 19.268 0.026
1092.59 19.678 0.040
1100.56 20.158 0.126
1104.56 20.331 0.076
1108.57 20.631 0.067
1112.58 20.601 0.079
