SN2006kf 0.021300 55.460333 8.156944
filter B
1036.81 17.078 0.007
1038.78 16.908 0.007
1039.77 16.841 0.007
1042.73 16.832 0.009
1048.78 17.267 0.010
1056.71 18.425 0.011
1060.69 18.930 0.014
1065.72 19.447 0.024
1068.72 19.608 0.025
1069.72 19.619 0.035
1080.72 20.154 0.055
1084.65 20.181 0.040
1087.67 20.273 0.040
1091.69 20.216 0.040
1096.63 20.381 0.075
1119.61 20.896 0.050
1127.64 21.010 0.157
filter V
1036.81 16.934 0.007
1038.78 16.741 0.007
1039.77 16.694 0.007
1042.73 16.623 0.009
1048.78 16.795 0.007
1052.77 17.087 0.008
1056.71 17.418 0.008
1060.69 17.731 0.009
1065.72 18.169 0.012
1068.72 18.420 0.016
1069.72 18.481 0.017
1075.70 18.776 0.032
1080.72 18.930 0.023
1084.65 19.033 0.018
1087.67 19.161 0.017
1091.69 19.249 0.022
1096.63 19.396 0.032
1102.64 19.485 0.093
1119.61 19.987 0.028
1127.64 20.228 0.059
filter r
1036.81 16.769 0.007
1038.78 16.590 0.007
1039.77 16.551 0.007
1042.73 16.492 0.007
1048.78 16.748 0.006
1052.77 17.018 0.009
1056.71 17.153 0.006
1060.69 17.293 0.009
1065.72 17.684 0.010
1068.72 17.960 0.011
1069.72 18.044 0.012
1075.70 18.366 0.016
1080.72 18.569 0.016
1084.65 18.734 0.014
1087.67 18.840 0.014
1091.69 18.980 0.018
1096.63 19.151 0.026
1102.64 19.374 0.070
1119.61 19.970 0.026
1123.66 20.106 0.040
filter i
1036.81 16.880 0.007
1038.78 16.787 0.009
1039.77 16.808 0.008
1042.73 16.922 0.009
1048.78 17.325 0.009
1052.77 17.567 0.010
1056.71 17.444 0.009
1060.69 17.393 0.010
1065.72 17.577 0.012
1068.72 17.853 0.013
1069.72 17.960 0.012
1075.70 18.331 0.020
1080.72 18.608 0.022
1084.65 18.788 0.019
1087.67 18.935 0.020
1091.69 19.124 0.024
1096.63 19.364 0.036
1119.61 20.247 0.051
1127.64 20.449 0.112
