SN2006bt 0.032200 239.127208 20.045917
filter B
 862.74 17.279 0.008
 866.71 17.535 0.013
 867.76 17.627 0.016
 870.78 17.892 0.019
 871.72 18.015 0.016
 872.75 18.108 0.015
 890.69 19.574 0.028
 891.71 19.621 0.035
filter V
 853.76 17.099 0.010
 858.76 16.919 0.007
 861.78 16.930 0.007
 862.74 16.945 0.008
 866.71 17.080 0.009
 867.76 17.107 0.010
 870.78 17.287 0.011
 871.72 17.358 0.009
 872.75 17.424 0.010
 890.69 18.577 0.046
 891.71 18.584 0.016
filter r
 853.76 17.130 0.008
 858.76 16.933 0.007
 861.78 16.926 0.005
 862.74 16.940 0.007
 866.71 17.031 0.008
 867.76 17.064 0.009
 870.78 17.187 0.008
 871.72 17.237 0.007
 872.75 17.287 0.009
 890.69 18.064 0.021
 891.71 18.164 0.010
filter i
 853.76 17.348 0.009
 858.76 17.233 0.009
 861.78 17.247 0.008
 862.74 17.267 0.008
 866.71 17.366 0.010
 867.76 17.393 0.012
 870.78 17.506 0.013
 871.72 17.526 0.010
 872.75 17.527 0.011
 890.69 17.985 0.016
 891.71 17.997 0.010
