SN2005bo 0.013900 192.420958 -11.096472
filter B
 478.75 15.834 0.010
 479.72 15.826 0.011
 480.73 15.860 0.009
 481.69 15.900 0.010
 484.74 16.087 0.025
 489.72 16.576 0.010
 490.70 16.684 0.011
 491.71 16.815 0.012
 512.76 18.626 0.145
filter V0
 478.75 15.578 0.011
 479.72 15.579 0.011
 480.73 15.553 0.013
 481.69 15.581 0.011
 484.74 15.678 0.021
 487.72 15.812 0.012
 489.72 15.945 0.009
 490.70 16.013 0.012
 491.71 16.089 0.015
 512.76 17.501 0.063
filter r
 478.75 15.445 0.009
 479.72 15.418 0.013
 480.73 15.421 0.013
 481.69 15.427 0.012
 484.74 15.504 0.013
 489.72 15.885 0.009
 490.70 15.957 0.010
 491.71 15.999 0.011
 512.76 17.000 0.023
filter i
 478.75 15.827 0.012
 479.72 15.850 0.015
 480.73 15.909 0.014
 481.69 15.941 0.013
 484.74 16.052 0.019
 489.72 16.459 0.009
 490.70 16.506 0.011
 491.71 16.503 0.013
 512.76 16.874 0.018
