SN2004dt 0.019700 30.553208 -0.097639
filter B
 249.79 15.769 0.006
 250.81 15.859 0.008
 251.83 15.961 0.009
 252.86 16.069 0.007
 253.78 16.142 0.014
 256.75 16.573 0.007
 257.73 16.715 0.008
 258.76 16.858 0.008
 259.78 16.995 0.007
 260.80 17.126 0.008
 261.71 17.239 0.011
 262.70 17.388 0.009
 263.76 17.515 0.014
 264.75 17.612 0.014
 265.79 17.712 0.013
 266.73 17.783 0.009
 267.74 17.856 0.011
 268.74 17.921 0.009
 269.68 17.947 0.017
 270.68 18.016 0.011
 271.79 18.041 0.011
 272.78 18.070 0.013
 273.79 18.107 0.012
 274.71 18.104 0.016
 275.74 18.152 0.023
 276.74 18.180 0.026
 277.69 18.189 0.032
 279.70 18.208 0.019
 280.71 18.220 0.016
 281.72 18.273 0.016
 284.83 18.305 0.013
 287.69 18.323 0.009
 289.77 18.356 0.010
 291.69 18.346 0.010
 293.73 18.382 0.026
 294.79 18.444 0.010
 295.75 18.439 0.010
 299.69 18.472 0.011
 305.75 18.549 0.019
 324.69 18.778 0.010
 329.70 18.854 0.014
 331.62 18.890 0.019
 341.61 19.021 0.012
 345.63 19.124 0.014
 349.61 19.141 0.012
 365.62 19.451 0.035
filter V0
 249.79 15.575 0.006
 250.81 15.630 0.009
 251.83 15.677 0.008
 252.86 15.723 0.006
 253.78 15.770 0.006
 256.75 15.950 0.006
 257.73 16.012 0.008
 258.76 16.078 0.008
 259.78 16.151 0.006
 260.80 16.227 0.008
 261.71 16.325 0.010
 262.70 16.402 0.009
 263.76 16.518 0.013
 264.75 16.589 0.013
 265.79 16.660 0.009
 266.73 16.735 0.007
 267.74 16.796 0.008
 268.74 16.853 0.007
 269.68 16.931 0.008
 270.68 16.951 0.006
 271.79 16.990 0.007
 272.78 17.023 0.008
 273.79 17.052 0.009
 274.71 17.082 0.009
 275.74 17.120 0.009
 276.74 17.154 0.010
 277.69 17.160 0.016
 278.77 17.169 0.017
 279.70 17.201 0.010
 280.71 17.250 0.011
 281.72 17.269 0.009
 284.83 17.363 0.010
 287.69 17.406 0.008
 289.77 17.450 0.009
 291.69 17.500 0.008
 293.73 17.539 0.009
 294.79 17.562 0.007
 295.75 17.577 0.011
 299.69 17.670 0.011
 324.69 18.189 0.009
 329.70 18.298 0.013
 331.62 18.323 0.015
 341.61 18.550 0.011
 345.63 18.641 0.012
 349.61 18.724 0.012
 365.62 19.051 0.024
filter r
 249.79 15.659 0.006
 250.81 15.695 0.008
 251.83 15.745 0.010
 252.86 15.796 0.006
 253.78 15.785 0.006
 256.75 15.807 0.006
 257.73 15.833 0.012
 258.76 15.857 0.006
 259.78 15.899 0.006
 260.80 15.926 0.009
 261.71 15.950 0.009
 262.70 16.058 0.010
 263.76 16.130 0.013
 264.75 16.160 0.011
 265.79 16.239 0.008
 266.73 16.299 0.006
 267.74 16.381 0.006
 268.74 16.396 0.009
 271.79 16.546 0.008
 272.78 16.598 0.009
 273.79 16.630 0.009
 274.71 16.681 0.007
 275.74 16.724 0.008
 276.74 16.758 0.008
 277.69 16.791 0.017
 279.70 16.850 0.009
 280.71 16.887 0.009
 281.72 16.920 0.009
 282.69 16.940 0.009
 284.83 17.046 0.006
 287.69 17.080 0.007
 289.77 17.165 0.009
 291.69 17.214 0.007
 293.73 17.280 0.006
 294.79 17.326 0.006
 295.75 17.321 0.008
 299.69 17.452 0.011
 323.72 18.212 0.008
 324.69 18.243 0.010
 329.70 18.378 0.012
 331.62 18.458 0.013
 341.61 18.829 0.012
 345.63 18.941 0.016
 349.61 19.036 0.015
 365.62 19.521 0.028
filter i
 249.79 16.079 0.008
 250.81 16.112 0.010
 251.83 16.111 0.009
 252.86 16.117 0.007
 253.78 16.091 0.005
 256.75 16.024 0.007
 257.73 16.029 0.009
 258.76 16.007 0.005
 259.78 15.993 0.005
 260.80 15.995 0.009
 261.71 15.981 0.010
 262.70 16.021 0.010
 263.76 16.093 0.016
 264.75 16.143 0.016
 265.79 16.163 0.009
 266.73 16.227 0.005
 267.74 16.290 0.009
 268.74 16.356 0.011
 271.79 16.531 0.009
 272.78 16.590 0.009
 273.79 16.626 0.009
 274.71 16.678 0.008
 275.74 16.746 0.008
 276.74 16.782 0.010
 277.69 16.815 0.019
 279.70 16.893 0.011
 280.71 16.953 0.015
 281.72 16.993 0.010
 282.69 17.032 0.012
 284.83 17.065 0.008
 287.69 17.209 0.009
 289.77 17.298 0.010
 291.69 17.359 0.009
 293.73 17.432 0.007
 294.79 17.476 0.007
 295.75 17.512 0.009
 299.69 17.689 0.016
 324.69 18.430 0.012
 329.70 18.588 0.013
 331.62 18.644 0.017
 341.61 18.899 0.016
 345.63 19.062 0.023
 349.61 19.096 0.016
