SN2007hx 0.079400 31.612833 -0.899528
filter B
1354.78 19.413 0.016
1357.83 19.501 0.027
1359.78 19.444 0.067
1363.70 19.888 0.043
1365.79 19.987 0.044
1376.70 21.325 0.071
1378.80 21.653 0.118
1380.79 21.742 0.120
1383.70 21.887 0.141
filter V
1354.78 19.122 0.014
1357.83 19.140 0.021
1359.78 19.128 0.053
1363.70 19.404 0.029
1365.79 19.392 0.028
1376.70 20.091 0.028
1378.80 20.278 0.056
1380.79 20.456 0.058
1383.70 20.544 0.053
filter r
1354.78 19.059 0.012
1357.83 19.071 0.017
1359.78 19.032 0.062
1363.70 19.286 0.017
1365.79 19.450 0.026
1376.70 19.893 0.026
1378.80 19.933 0.034
1380.79 20.004 0.030
1383.70 20.186 0.033
1392.75 20.683 0.059
1411.73 21.194 0.060
filter i
1354.78 19.420 0.022
1357.83 19.407 0.032
1359.78 19.561 0.108
1363.70 19.714 0.034
1365.79 19.844 0.047
1376.70 20.113 0.046
1378.80 20.077 0.045
1380.79 19.840 0.045
1383.70 19.993 0.041
1392.75 20.460 0.079
1411.73 21.344 0.125
