SN2007ux 0.030900 152.333250 14.992444
filter B
1466.86 17.554 0.009
1467.76 17.584 0.009
1468.76 17.625 0.009
1469.79 17.667 0.010
1470.77 17.782 0.010
1476.76 18.615 0.014
1478.79 18.979 0.017
1480.78 19.279 0.046
1484.73 19.760 0.039
1486.75 19.691 0.060
1492.77 20.337 0.059
1494.74 20.332 0.054
1499.72 20.474 0.055
1512.74 20.913 0.071
1527.68 21.285 0.083
1532.67 21.214 0.096
1558.61 21.625 0.101
filter V
1466.86 17.368 0.008
1467.76 17.357 0.008
1468.76 17.350 0.009
1469.79 17.342 0.008
1470.77 17.366 0.008
1476.76 17.770 0.010
1478.79 17.985 0.010
1480.78 18.201 0.018
1484.73 18.505 0.016
1486.75 18.692 0.034
1492.77 19.158 0.027
1494.74 19.325 0.025
1497.72 19.446 0.021
1499.72 19.480 0.029
1512.74 20.010 0.035
1519.71 20.125 0.088
1521.77 20.139 0.072
1523.72 20.219 0.065
1527.68 20.316 0.045
1532.67 20.538 0.055
1549.64 20.922 0.168
1558.61 21.314 0.089
filter r
1466.86 17.311 0.009
1467.76 17.293 0.009
1468.76 17.282 0.009
1470.77 17.307 0.009
1476.76 17.622 0.009
1478.79 17.741 0.009
1480.78 17.851 0.012
1484.73 18.059 0.013
1486.75 18.186 0.015
1492.77 18.698 0.017
1494.74 18.897 0.014
1497.72 19.023 0.017
1499.72 19.166 0.018
1512.74 19.674 0.030
1519.71 19.870 0.059
1521.77 19.922 0.046
1523.72 19.939 0.041
filter i
1466.86 17.599 0.017
1467.76 17.645 0.010
1468.76 17.680 0.012
1469.79 17.721 0.010
1470.77 17.731 0.010
1476.76 18.034 0.013
1478.79 18.072 0.013
1480.78 18.071 0.014
1484.73 18.160 0.015
1486.75 18.208 0.021
1492.77 18.616 0.021
1494.74 18.854 0.016
1497.72 19.095 0.021
1499.72 19.157 0.030
1512.74 19.773 0.049
1523.72 20.278 0.078
