SN2006bh 0.010900 340.067083 -66.485083
filter B
 831.90 14.476 0.006
 832.92 14.447 0.006
 833.91 14.429 0.006
 835.93 14.493 0.006
 838.88 14.668 0.006
 841.92 14.955 0.006
 845.88 15.460 0.006
 846.88 15.595 0.006
 850.85 16.135 0.007
 853.92 16.490 0.008
 858.86 16.996 0.029
 861.87 17.216 0.010
 862.84 17.275 0.010
 866.84 17.466 0.014
 867.84 17.502 0.016
 870.85 17.587 0.018
 871.83 17.611 0.016
 872.82 17.644 0.016
 891.79 17.997 0.014
filter V
 831.90 14.510 0.006
 832.92 14.473 0.006
 833.91 14.452 0.006
 835.93 14.459 0.006
 838.88 14.535 0.006
 841.92 14.690 0.006
 845.88 14.982 0.006
 846.88 15.044 0.006
 850.85 15.326 0.006
 853.92 15.534 0.006
 858.86 15.942 0.008
 861.87 16.176 0.007
 862.84 16.261 0.007
 866.84 16.473 0.009
 867.84 16.518 0.009
 870.85 16.636 0.009
 871.83 16.669 0.009
 872.82 16.708 0.009
 891.79 17.275 0.009
filter r
 831.90 14.510 0.006
 832.92 14.492 0.006
 833.91 14.455 0.005
 838.88 14.558 0.005
 841.92 14.815 0.005
 845.88 15.107 0.005
 846.88 15.140 0.005
 850.85 15.234 0.005
 853.92 15.307 0.006
 858.86 15.599 0.005
 861.87 15.859 0.005
 862.84 15.941 0.005
 866.84 16.208 0.005
 867.84 16.252 0.007
 870.85 16.380 0.006
 871.83 16.431 0.006
 872.82 16.469 0.008
 891.79 17.184 0.007
filter i
 831.90 14.977 0.007
 832.92 15.013 0.008
 833.91 15.062 0.007
 835.93 15.126 0.012
 838.88 15.273 0.005
 841.92 15.601 0.007
 845.88 15.803 0.006
 846.88 15.792 0.007
 850.85 15.675 0.005
 853.92 15.607 0.008
 858.86 15.677 0.005
 861.87 15.944 0.005
 862.84 16.023 0.008
 866.84 16.330 0.008
 867.84 16.385 0.009
 870.85 16.549 0.008
 871.83 16.605 0.009
 872.82 16.657 0.010
 891.79 17.483 0.014
