SN2005el 0.014900 77.953000 5.194278
filter B
 639.89 15.868 0.006
 641.88 15.568 0.005
 644.88 15.318 0.005
 655.84 15.777 0.006
 659.79 16.247 0.006
 663.82 16.787 0.010
 665.83 17.044 0.008
 666.80 17.143 0.009
 669.82 17.522 0.008
 671.83 17.716 0.008
 673.82 17.860 0.009
 675.84 17.989 0.011
 682.83 18.312 0.020
 683.81 18.346 0.011
 687.78 18.440 0.023
 689.81 18.489 0.031
 690.83 18.599 0.043
 694.83 18.611 0.026
 698.77 18.659 0.021
 699.76 18.690 0.017
 702.76 18.800 0.017
 712.74 18.918 0.020
 721.71 19.054 0.054
 730.75 19.199 0.025
filter V0
 639.89 15.822 0.006
 641.88 15.521 0.004
 655.84 15.536 0.005
 659.79 15.839 0.005
 663.82 16.101 0.005
 665.83 16.228 0.005
 666.80 16.284 0.005
 669.82 16.530 0.004
 671.83 16.684 0.005
 673.82 16.831 0.008
 675.84 17.001 0.009
 682.83 17.346 0.017
 683.81 17.397 0.007
 687.78 17.535 0.012
 689.81 17.589 0.016
 690.83 17.596 0.017
 694.83 17.744 0.015
 698.77 17.867 0.011
 699.76 17.868 0.011
 702.76 17.966 0.011
 712.74 18.253 0.013
 721.71 18.468 0.030
 730.75 18.761 0.019
filter r
 641.88 15.498 0.004
 655.84 15.660 0.007
 659.79 15.954 0.004
 663.82 16.047 0.005
 665.83 16.063 0.006
 666.80 16.083 0.006
 669.82 16.199 0.004
 671.83 16.326 0.006
 673.82 16.483 0.007
 675.84 16.640 0.010
 682.83 17.071 0.012
 683.81 17.109 0.006
 687.78 17.305 0.010
 689.81 17.346 0.013
 690.83 17.383 0.013
 694.83 17.548 0.013
 698.77 17.682 0.008
 699.76 17.714 0.011
 702.76 17.843 0.011
 712.74 18.186 0.011
 721.71 18.517 0.022
 730.75 18.820 0.017
filter i
 639.89 15.966 0.007
 641.88 15.722 0.004
 650.90 15.912 0.006
 655.84 16.427 0.009
 659.79 16.652 0.005
 663.82 16.524 0.006
 665.83 16.441 0.008
 666.80 16.403 0.007
 669.82 16.337 0.004
 671.83 16.378 0.007
 673.82 16.508 0.010
 675.84 16.678 0.011
 682.83 17.170 0.011
 683.81 17.214 0.010
 687.78 17.407 0.012
 689.81 17.508 0.013
 690.83 17.573 0.014
 694.83 17.740 0.015
 698.77 17.903 0.014
 699.76 17.942 0.014
 702.76 18.071 0.013
 712.74 18.499 0.015
 721.71 18.840 0.031
 730.75 19.147 0.029
