SN2007on 0.006182 54.7120833333333 -35.575
filter uCSP9844
54449.19361 15.534 0.008
54453.13832 15.654 0.007
54455.1139 15.722 0.008
54456.15405 15.745 0.007
54457.12102 15.769 0.008
54458.18471 15.802 0.008
54462.22076 15.9 0.007
54467.12712 16.025 0.007
54468.13332 16.037 0.008
54470.08788 16.097 0.01
54472.10858 16.123 0.01
54475.10998 16.198 0.007
54476.13697 16.205 0.009
54484.08747 16.372 0.009
54488.07259 16.447 0.009
54490.06978 16.488 0.008
54494.11035 16.566 0.007
54497.11014 16.641 0.008
54499.09598 16.682 0.009
54508.09958 16.862 0.009
filter rCSP9844
54411.28453 14.176 0.008
54413.31325 13.639 0.003
54417.2052 13.093 0.005
54418.24183 13.061 0.009
54421.2075 12.966 0.007
54422.21833 12.965 0.005
54423.20494 13.022 0.007
54425.22418 13.099 0.004
54426.15644 13.192 0.007
54427.17866 13.244 0.009
54428.21678 13.321 0.005
54429.18392 13.366 0.006
54430.16787 13.418 0.006
54435.16196 13.643 0.007
54440.18856 14.096 0.007
54443.22231 14.393 0.005
54445.2233 14.528 0.006
54447.1492 14.65 0.008
54449.19361 14.769 0.008
54453.13832 14.966 0.007
54455.1139 15.053 0.008
54456.15405 15.099 0.006
54457.12102 15.139 0.007
54458.18471 15.186 0.007
54462.22076 15.36 0.006
54467.12712 15.552 0.007
54468.13332 15.587 0.008
54470.08788 15.683 0.012
54472.10858 15.741 0.012
54475.10998 15.877 0.008
54476.13697 15.917 0.01
54484.08747 16.239 0.01
54488.07259 16.403 0.011
54490.06978 16.482 0.009
54494.11035 16.647 0.009
54497.11014 16.749 0.01
54499.09598 16.842 0.009
54508.09958 17.178 0.012
filter iCSP9844
54411.28453 14.338 0.009
54413.31325 13.826 0.007
54417.2052 13.388 0.007
54418.24183 13.437 0.013
54421.2075 13.439 0.011
54422.21833 13.464 0.007
54423.20494 13.565 0.007
54425.22418 13.646 0.011
54426.15644 13.715 0.008
54427.17866 13.748 0.015
54428.21678 13.791 0.01
54429.18392 13.807 0.011
54430.16787 13.799 0.011
54435.16196 13.752 0.011
54440.18856 14.08 0.01
54443.22231 14.393 0.009
54445.2233 14.541 0.009
54447.1492 14.683 0.011
54449.19361 14.809 0.011
54453.13832 15.012 0.011
54455.1139 15.112 0.011
54456.15405 15.165 0.011
54457.12102 15.208 0.011
54458.18471 15.257 0.011
54462.22076 15.429 0.01
54467.12712 15.643 0.011
54468.13332 15.684 0.012
54470.08788 15.773 0.014
54472.10858 15.836 0.015
54475.10998 15.952 0.011
54476.13697 15.989 0.014
54484.08747 16.28 0.014
54488.07259 16.425 0.014
54490.06978 16.48 0.011
54494.11035 16.611 0.011
54497.11014 16.709 0.014
54499.09598 16.749 0.014
54508.09958 17.026 0.014
filter YCSP9844
54410.21631 14.418 0.015
54412.21537 13.829 0.011
54415.241 13.311 0.008
54421.2075 13.393 0.004
54422.21833 13.464 0.009
54423.20494 13.519 0.004
54424.2196 13.561 0.008
54425.22418 13.64 0.005
54426.15644 13.677 0.012
54427.17866 13.663 0.01
54428.21678 13.663 0.011
54431.21043 13.514 0.008
54432.16671 13.462 0.009
54437.20831 13.199 0.026
54439.18367 13.178 0.01
54442.20865 13.389 0.011
54444.28089 13.552 0.004
54446.17706 13.727 0.03
54448.1529 13.823 0.006
54454.14459 14.232 0.007
54456.15405 14.365 0.005
54457.12102 14.444 0.013
54461.17794 14.683 0.007
54463.14338 14.828 0.013
54468.13332 15.11 0.003
54471.15238 15.274 0.009
54477.1033 15.566 0.006
54485.12891 15.915 0.008
54491.08558 16.151 0.007
filter JCSP9844
54410.21631 14.348 0.01
54412.21537 13.729 0.007
54415.241 13.218 0.006
54421.2075 13.234 0.01
54423.20494 13.479 0.01
54424.2196 13.639 0.01
54425.22418 13.806 0.011
54426.15644 13.941 0.011
54427.17866 14.056 0.005
54428.21678 14.139 0.005
54431.21043 14.238 0.008
54432.16671 14.239 0.009
54437.20831 14.044 0.006
54439.18367 14.066 0.006
54442.20865 14.441 0.011
54444.28089 14.717 0.017
54446.17706 14.926 0.009
54448.1529 15.134 0.007
54454.14459 15.723 0.024
54456.15405 15.919 0.003
54457.12102 16.001 0.019
54461.17794 16.301 0.013
54463.14338 16.472 0.028
54468.13332 16.907 0.013
54471.15238 17.022 0.068
54477.1033 17.471 0.032
54485.12891 18.036 0.085
54491.08558 18.122 0.072
filter HCSP9844
54410.21631 14.249 0.009
54412.21537 13.735 0.006
54421.2075 13.345 0.003
54424.2196 13.456 0.007
54426.15644 13.53 0.008
54427.17866 13.528 0.007
54428.21678 13.499 0.012
54431.21043 13.427 0.005
54432.16671 13.389 0.011
54437.20831 13.416 0.005
54439.18367 13.534 0.006
54442.20865 13.832 0.006
54444.28089 14.014 0.007
54446.17706 14.169 0.008
54448.1529 14.293 0.013
54454.14459 14.66 0.009
54456.15405 14.799 0.014
54457.12102 14.854 0.011
54461.17794 15.019 0.019
54463.14338 15.147 0.02
54468.13332 15.43 0.004
54471.15238 15.52 0.013
54477.1033 15.87 0.015
54485.12891 16.323 0.023
54491.08558 16.606 0.028
filter KCSP9844
54421.2075 15.916 0.045
54426.15644 16.174 0.052
54427.17866 16.165 0.051
54428.21678 16.059 0.001
54456.15405 17.61 0.053
54457.12102 17.689 0.05
54468.13332 18.331 0.061
