SN2005ag 0.08002 224.182 9.32846944444444
filter B
53426.34115 19.649 0.038
53427.3362 19.582 0.038
53430.35036 19.493 0.069
53444.34488 18.953 0.032
53447.32449 18.915 0.041
53450.34595 18.99 0.034
filter J
53418.35192 19.601 0.09
53422.30781 20.081 0.101
53424.30926 20.083 0.08
53426.34115 20.589 0.096
53427.3362 20.427 0.089
53430.35036 20.436 0.163
53444.34488 19.949 0.101
53447.32449 19.814 0.078
53450.34595 19.507 0.046
filter H
53418.35192 19.201 0.055
53422.30781 19.425 0.256
53424.30926 19.417 0.103
53426.34115 19.571 0.144
53427.3362 19.932 0.102
53430.35036 20.116 0.236
53444.34488 19.527 0.111
53447.32449 19.623 0.115
53450.34595 19.261 0.067
