SN2005ke 0.004483 53.7680833333333 -24.9441
filter uCSP3014
53778.0562 17.766 0.017
53784.01455 17.956 0.015
53786.01684 17.984 0.018
53798.03147 18.269 0.019
53804.05899 18.39 0.027
53809.0347 18.504 0.029
53818.99323 18.688 0.027
53967.37067 21.587 0.053
filter YCSP3014
53691.26561 15.052 0.033
53692.27453 14.857 0.01
53693.24855 14.683 0.022
53696.26039 14.261 0.013
53697.1914 14.157 0.013
53700.24403 14.03 0.011
53701.23021 14.069 0.021
53704.22178 14.078 0.027
53705.22571 14.122 0.017
53709.21249 14.119 0.01
53710.22637 14.116 0.014
53714.14316 14.201 0.014
53715.14707 14.223 0.011
53717.14826 14.278 0.01
53718.19655 14.314 0.011
53721.13244 14.497 0.014
53724.1052 14.719 0.034
53727.20847 14.929 0.016
53731.16624 15.175 0.029
53743.10591 15.838 0.006
53750.10468 16.192 0.005
53753.07108 16.265 0.013
53755.0946 16.314 0.014
53756.13774 16.471 0.006
53757.10414 16.417 0.016
53773.06804 17.119 0.01
53776.07141 17.182 0.041
53784.01455 17.416 0.045
53786.01684 17.529 0.01
53789.01486 17.537 0.024
filter JCSP3014
53691.26561 15.05 0.066
53692.27453 14.797 0.011
53693.24855 14.612 0.014
53696.26039 14.188 0.01
53697.1914 14.108 0.007
53700.24403 14.003 0.009
53701.23021 14.027 0.011
53704.22178 14.232 0.013
53705.22571 14.244 0.016
53709.21249 14.587 0.026
53710.22637 14.642 0.013
53714.14316 14.896 0.012
53715.14707 14.932 0.019
53717.14826 15.062 0.018
53718.19655 15.106 0.011
53721.13244 15.451 0.006
53724.1052 15.788 0.052
53731.16624 16.575 0.021
53743.10591 17.56 0.013
53750.10468 18.116 0.017
53753.07108 18.546 0.205
53756.13774 18.524 0.061
53757.10414 18.452 0.161
53773.06804 19.404 0.066
53776.07141 19.168 0.174
53784.01455 19.706 0.123
53786.01684 19.66 0.084
53789.01486 19.442 0.184
filter HCSP3014
53691.26561 14.948 0.05
53692.27453 14.729 0.01
53693.24855 14.53 0.008
53696.26039 14.12 0.008
53697.1914 14.044 0.013
53700.24403 13.948 0.006
53701.23021 13.956 0.009
53704.22178 13.974 0.02
53705.22571 14.031 0.01
53709.21249 14.069 0.013
53710.22637 14.136 0.013
53714.14316 14.355 0.011
53715.14707 14.398 0.013
53717.14826 14.54 0.008
53718.19655 14.64 0.008
53721.13244 14.933 0.005
53724.1052 15.168 0.018
53731.16624 15.607 0.016
53743.10591 16.304 0.008
53750.10468 16.666 0.029
53753.07108 16.701 0.069
53755.0946 16.785 0.077
53756.13774 16.96 0.029
53757.10414 16.958 0.098
53773.06804 17.727 0.034
53776.07141 17.86 0.103
53784.01455 18.253 0.081
53786.01684 18.226 0.056
53789.01486 18.002 0.289
filter KCSP3014
53721.13244 15.149 0.013
53750.10468 16.921 0.035
53753.07108 17.087 0.203
53755.0946 17.189 0.22
53756.13774 17.379 0.059
53757.10414 17.075 0.202
53784.01455 18.608 0.157
