SN2006mr 0.005508 50.6792916666667 -37.2081
filter uCSP9844
54046.16501 16.835 0.021
54048.29948 16.645 0.021
54049.20598 16.681 0.02
54052.24351 17.114 0.023
54056.23198 18.045 0.032
54060.25838 18.598 0.052
54065.24617 18.748 0.051
54066.31424 18.85 0.042
54068.25035 18.83 0.051
54071.15779 18.917 0.053
54073.21282 19.069 0.074
54076.20914 19.057 0.066
54080.25767 19.156 0.058
54084.16336 19.325 0.063
54087.11973 19.471 0.098
54092.15775 19.521 0.081
54096.14568 19.71 0.073
54099.11396 19.977 0.118
54100.13156 19.764 0.114
filter BCSP9844
54046.16501 16.058 0.011
54048.29948 15.577 0.006
54049.20598 15.461 0.012
54052.24351 15.517 0.012
54056.23198 16.223 0.009
54060.25838 16.84 0.025
54065.24617 17.222 0.027
54066.31424 17.268 0.029
54068.25035 17.398 0.027
54071.15779 17.527 0.025
54073.21282 17.598 0.019
54076.20914 17.715 0.022
54080.25767 17.829 0.022
54084.16336 17.957 0.043
54087.11973 18.05 0.044
54092.15775 18.211 0.061
54096.14568 18.317 0.039
54099.11396 18.411 0.024
54100.13156 18.436 0.04
54104.21454 18.452 0.033
54106.14052 18.581 0.03
54108.14292 18.64 0.065
54110.08657 18.715 0.08
54118.16719 18.816 0.039
54123.11705 19.089 0.048
54127.17801 19.204 0.045
54130.05575 19.485 0.178
54133.09138 19.373 0.067
54136.1166 19.126 0.066
54143.05057 19.663 0.102
54147.05626 19.915 0.084
filter VCSP9844
54046.16501 15.559 0.011
54048.29948 15.001 0.006
54049.20598 14.833 0.014
54052.24351 14.624 0.01
54056.23198 14.928 0.006
54060.25838 15.429 0.024
54065.24617 15.917 0.022
54066.31424 15.998 0.015
54068.25035 16.116 0.021
54071.15779 16.311 0.019
54073.21282 16.435 0.013
54076.20914 16.587 0.016
54080.25767 16.793 0.014
54084.16336 16.958 0.021
54087.11973 17.059 0.044
54092.15775 17.276 0.043
54096.14568 17.453 0.029
54099.11396 17.591 0.016
54100.13156 17.593 0.033
54104.21454 17.716 0.02
54106.14052 17.804 0.022
54108.14292 17.886 0.051
54110.08657 18.035 0.063
54118.16719 18.28 0.032
54123.11705 18.481 0.058
54127.17801 18.705 0.057
54130.05575 18.852 0.06
54133.09138 18.913 0.068
54136.1166 18.945 0.056
54143.05057 19.221 0.131
54147.05626 19.424 0.087
filter gCSP9844
54046.16501 15.807 0.007
54048.29948 15.271 0.005
54049.20598 15.121 0.008
54052.24351 15.067 0.012
54056.23198 15.649 0.006
54060.25838 16.256 0.014
54065.24617 16.671 0.016
54066.31424 16.712 0.012
54068.25035 16.832 0.016
