SN2005al 0.013286 207.501 -30.5762
filter uCSP3014
53456.28346 16.563 0.016
53462.24986 17.101 0.007
filter HCSP3014
53433.35169 16.043 0.009
53444.30596 16.095 0.05
53447.29775 16.13 0.01
53450.32173 16.06 0.019
53454.23798 15.889 0.009
53455.2798 15.939 0.007
53456.28346 15.965 0.006
53462.24986 16.386 0.007
filter KCSP3014
53433.35169 15.821 0.012
53444.30596 16.062 0.027
53447.29775 15.956 0.016
53450.32173 15.788 0.024
53455.2798 15.953 0.012
53456.28346 16.037 0.01
53462.24986 16.486 0.015
