SN2004dt 0.018812 30.5532083333333 0.0976388888888889
filter u
53268.22471 16.397 0.008
53271.27227 16.546 0.007
53272.25135 16.592 0.009
53273.2777 16.633 0.008
53274.19874 16.675 0.007
53275.21882 16.729 0.008
53276.22678 16.76 0.007
53277.16295 16.768 0.013
53279.18153 16.837 0.01
53280.19347 16.869 0.009
53281.20693 16.917 0.009
53282.17868 16.941 0.009
53284.30732 17.043 0.005
53287.16703 17.088 0.007
53289.23863 17.171 0.009
53291.1723 17.224 0.007
53293.20307 17.286 0.005
53294.26838 17.329 0.005
53295.22655 17.325 0.009
53299.16248 17.435 0.012
53323.2136 18.216 0.009
53324.16089 18.245 0.01
53329.16508 18.336 0.01
53331.09552 18.46 0.012
53341.07471 18.838 0.012
53345.10192 18.865 0.016
53349.07786 18.992 0.017
53365.09524 19.476 0.027
filter i
53249.26997 16.069 0.006
53250.29201 16.11 0.009
53251.31405 16.11 0.009
53252.34789 16.049 0.007
53256.22375 16.021 0.007
53257.21014 16.032 0.011
53258.24234 16.008 0.007
53259.25928 15.993 0.005
53260.28264 15.992 0.009
53261.19531 15.982 0.009
53262.19022 16.018 0.009
53263.24848 16.082 0.014
53264.22499 16.124 0.014
53265.26678 16.158 0.008
53266.21198 16.231 0.005
53267.22001 16.289 0.009
53268.22471 16.338 0.01
53271.27227 16.532 0.009
53272.25135 16.565 0.008
53273.2777 16.623 0.009
53274.19874 16.672 0.008
53275.21882 16.742 0.008
53276.22678 16.785 0.01
53277.16295 16.796 0.018
53279.18153 16.879 0.011
53280.19347 16.932 0.014
53281.20693 16.981 0.009
53282.17868 17.033 0.013
53284.30732 17.085 0.008
53287.16703 17.21 0.009
53289.23863 17.292 0.01
53291.1723 17.364 0.009
53293.20307 17.427 0.006
53294.26838 17.474 0.006
53295.22655 17.499 0.011
53299.16248 17.632 0.016
53323.2136 18.455 0.017
53324.16089 18.41 0.011
53329.16508 18.561 0.013
53331.09552 18.597 0.017
53341.07471 18.877 0.016
53345.10192 18.983 0.022
53349.07786 19.069 0.017
53365.09524 19.496 0.032
