SN2008fp 0.006287 109.136 -29.3255
filter u
54796.27317 15.23 0.022
54799.31789 15.388 0.023
filter K
54725.32016 13.424 0.007
54727.33258 13.392 0.007
54728.31453 13.4 0.009
54729.30238 13.42 0.006
54752.28324 13.567 0.013
54756.30067 13.531 0.007
54758.25494 13.54 0.006
