SN2005M 0.022972 144.385 23.2008
filter uCSP3014
53396.27913 16.897 0.024
53397.20395 16.78 0.006
53398.20613 16.645 0.006
53399.18601 16.554 0.009
53400.19425 16.481 0.008
53402.17183 16.379 0.008
53403.2172 16.358 0.008
53404.20995 16.354 0.011
53406.2174 16.411 0.014
53407.2611 16.436 0.014
53408.22223 16.5 0.015
53409.22179 16.613 0.015
53410.23745 16.68 0.017
53411.22331 16.741 0.017
53412.21214 16.87 0.019
53413.16822 16.967 0.02
53414.16681 17.06 0.017
53415.22145 17.194 0.02
53416.15224 17.294 0.021
53417.20348 17.418 0.015
53418.16875 17.546 0.016
53419.168 17.671 0.019
53420.23524 17.762 0.025
53421.20756 17.919 0.039
53422.13321 18.014 0.082
53424.16627 18.402 0.115
53426.16586 18.509 0.079
53427.16553 18.693 0.072
53428.12107 18.786 0.059
53429.13702 18.905 0.048
53430.03877 19.015 0.061
53431.10669 19.141 0.119
53432.14045 19.221 0.055
53436.14998 19.509 0.048
53438.13691 19.551 0.049
53444.15519 19.884 0.049
53445.153 19.882 0.043
53453.06684 20.298 0.202
53454.09393 20.264 0.19
53455.0648 20.049 0.196
53456.079 20.183 0.156
53457.08022 20.053 0.116
filter BCSP3014
53397.20395 16.479 0.013
53398.20613 16.362 0.009
53399.18601 16.254 0.008
53400.19425 16.18 0.006
53401.1772 16.13 0.006
53402.17183 16.088 0.008
53403.2172 16.037 0.007
53404.20995 16.024 0.007
53406.2174 16.013 0.009
53407.2611 16.041 0.008
53408.22223 16.061 0.009
53409.22179 16.094 0.008
53410.23745 16.135 0.009
53411.22331 16.177 0.008
53412.21214 16.242 0.008
53413.16822 16.271 0.009
53414.16681 16.331 0.009
53415.22145 16.409 0.009
53416.15224 16.479 0.009
53417.20348 16.57 0.01
53418.16875 16.651 0.009
53419.168 16.742 0.01
53420.23524 16.872 0.011
53421.20756 16.994 0.015
53422.13321 17.062 0.028
53424.16627 17.3 0.052
53426.16586 17.458 0.024
53427.16553 17.513 0.022
53428.12107 17.639 0.024
53429.13702 17.716 0.028
53430.03877 17.8 0.021
53431.10669 17.884 0.02
53432.14045 18 0.011
53436.14998 18.276 0.014
53438.13691 18.411 0.017
53444.15519 18.754 0.02
53445.153 18.772 0.019
53446.15492 18.825 0.022
53453.06684 19.078 0.063
53454.09393 19.064 0.052
53455.0648 19.102 0.055
53456.079 19.156 0.045
53457.08022 19.211 0.036
53458.06476 19.154 0.03
53459.05536 19.183 0.025
53460.05286 19.217 0.016
53464.0396 19.277 0.019
53465.0998 19.275 0.019
53466.09357 19.336 0.021
53472.03855 19.392 0.017
53474.01907 19.468 0.022
53476.00605 19.398 0.03
53478.04325 19.472 0.035
53479.03903 19.477 0.052
53479.99685 19.496 0.04
filter VCSP3014
53397.20395 16.495 0.008
53398.20613 16.352 0.008
53399.18601 16.263 0.007
53400.19425 16.181 0.006
53401.1772 16.131 0.006
53402.17183 16.089 0.006
53403.2172 16.05 0.006
53404.20995 16.028 0.007
53406.2174 15.991 0.009
53407.2611 16.012 0.009
53408.22223 16.02 0.009
53409.22179 16.029 0.008
53410.23745 16.039 0.008
53411.22331 16.06 0.008
53412.21214 16.076 0.009
53413.16822 16.12 0.009
53414.16681 16.151 0.009
53415.22145 16.186 0.009
53416.15224 16.236 0.009
53417.20348 16.273 0.009
53418.16875 16.333 0.009
53419.168 16.396 0.009
53420.23524 16.444 0.01
53421.20756 16.507 0.012
53422.13321 16.547 0.023
53424.16627 16.626 0.034
53425.15898 16.737 0.025
53426.16586 16.807 0.016
53427.16553 16.881 0.016
53428.12107 16.9 0.013
53429.13702 16.928 0.015
53430.03877 17.013 0.014
53431.10669 17.061 0.012
53432.14045 17.121 0.013
53436.14998 17.326 0.012
53438.13691 17.425 0.012
53444.15519 17.762 0.013
53445.153 17.826 0.013
53446.15492 17.884 0.013
53453.06684 18.152 0.028
53454.09393 18.175 0.027
53455.0648 18.177 0.029
53456.079 18.223 0.025
53457.08022 18.3 0.022
53458.06476 18.273 0.02
53459.05536 18.321 0.016
53460.05286 18.331 0.015
53464.0396 18.434 0.015
53465.0998 18.461 0.014
53466.09357 18.48 0.017
53472.03855 18.61 0.014
53474.01907 18.633 0.016
53476.00605 18.693 0.021
53478.04325 18.69 0.027
53479.03903 18.766 0.045
53479.99685 18.808 0.03
filter gCSP3014
53397.20395 16.41 0.004
53398.20613 16.278 0.003
53399.18601 16.185 0.007
53400.19425 16.099 0.005
53401.1772 16.057 0.004
53402.17183 16.002 0.004
53403.2172 15.945 0.006
53404.20995 15.931 0.006
53406.2174 15.906 0.008
53407.2611 15.938 0.008
53408.22223 15.952 0.007
53409.22179 15.975 0.008
53410.23745 15.997 0.006
53411.22331 16.034 0.006
53412.21214 16.081 0.006
53413.16822 16.132 0.009
53414.16681 16.175 0.007
53415.22145 16.213 0.008
53416.15224 16.266 0.009
53417.20348 16.34 0.008
53418.16875 16.406 0.008
53419.168 16.484 0.009
53420.23524 16.588 0.01
53421.20756 16.677 0.015
53422.13321 16.775 0.033
53424.16627 16.902 0.035
53425.15898 16.993 0.026
53426.16586 17.087 0.017
53427.16553 17.158 0.015
53428.12107 17.23 0.013
53429.13702 17.335 0.011
53430.03877 17.404 0.014
53431.10669 17.484 0.012
53432.14045 17.542 0.012
53436.14998 17.852 0.01
53438.13691 17.973 0.012
53444.15519 18.313 0.013
53445.153 18.382 0.012
53446.15492 18.425 0.015
53453.06684 18.605 0.043
53454.09393 18.676 0.032
53455.0648 18.66 0.035
53456.079 18.765 0.032
53457.08022 18.769 0.028
53458.06476 18.8 0.019
53459.05536 18.812 0.016
53460.05286 18.82 0.013
53464.0396 18.874 0.013
53465.0998 18.92 0.012
53466.09357 18.923 0.013
53472.03855 19.016 0.01
53474.01907 19.038 0.012
53476.00605 19.081 0.017
53478.04325 19.096 0.027
53479.03903 19.126 0.048
53479.99685 19.1 0.027
filter rCSP3014
53397.20395 16.501 0.008
53398.20613 16.422 0.006
53399.18601 16.313 0.009
53400.19425 16.254 0.004
53401.1772 16.178 0.004
53402.17183 16.143 0.004
53403.2172 16.112 0.006
53404.20995 16.075 0.006
53406.2174 16.052 0.008
53407.2611 16.039 0.008
53408.22223 16.032 0.008
53409.22179 16.047 0.007
53410.23745 16.034 0.006
53411.22331 16.06 0.008
53412.21214 16.082 0.007
53413.16822 16.115 0.009
53414.16681 16.146 0.007
53415.22145 16.199 0.009
53416.15224 16.241 0.007
53417.20348 16.3 0.008
53418.16875 16.345 0.008
53419.168 16.415 0.008
53420.23524 16.464 0.009
53421.20756 16.538 0.01
53422.13321 16.56 0.011
53424.16627 16.567 0.029
53425.15898 16.62 0.017
53426.16586 16.647 0.012
53427.16553 16.679 0.011
53428.12107 16.698 0.012
53429.13702 16.722 0.009
53430.03877 16.751 0.009
53431.10669 16.787 0.009
53432.14045 16.8 0.01
53436.14998 16.931 0.008
53438.13691 16.99 0.009
53444.15519 17.33 0.009
53445.153 17.366 0.009
53446.15492 17.453 0.01
53453.06684 17.782 0.021
53454.09393 17.78 0.017
53455.0648 17.801 0.016
53456.079 17.855 0.014
53457.08022 17.879 0.012
53458.06476 17.919 0.012
53459.05536 17.953 0.012
53460.05286 17.99 0.012
53464.0396 18.102 0.011
53465.0998 18.122 0.011
53466.09357 18.157 0.011
53472.03855 18.32 0.009
53474.01907 18.384 0.01
53476.00605 18.438 0.016
53478.04325 18.511 0.017
53479.03903 18.55 0.035
53479.99685 18.53 0.021
filter iCSP3014
53397.20395 16.803 0.03
53398.20613 16.705 0.007
53399.18601 16.616 0.009
53400.19425 16.567 0.006
53401.1772 16.509 0.007
53402.17183 16.509 0.007
53403.2172 16.514 0.004
53404.20995 16.54 0.008
53406.2174 16.601 0.009
53407.2611 16.622 0.01
53408.22223 16.651 0.011
53409.22179 16.66 0.01
53410.23745 16.682 0.01
53411.22331 16.723 0.011
53412.21214 16.747 0.015
53413.16822 16.777 0.012
53414.16681 16.857 0.012
53415.22145 16.891 0.012
53416.15224 16.971 0.012
53417.20348 17.027 0.012
53418.16875 17.089 0.013
53419.168 17.151 0.011
53420.23524 17.188 0.014
53421.20756 17.172 0.02
53422.13321 17.222 0.029
53424.16627 17.265 0.072
53425.15898 17.209 0.035
53426.16586 17.187 0.019
53427.16553 17.147 0.017
53428.12107 17.163 0.016
53429.13702 17.168 0.013
53430.03877 17.129 0.013
53431.10669 17.121 0.015
53432.14045 17.148 0.015
53436.14998 17.175 0.012
