SN2008bc 0.015707 144.63 -63.9738
filter uCSP9844
54539.30569 17.531 0.021
54540.07837 17.227 0.015
54541.16419 16.911 0.011
54542.04857 16.716 0.009
54543.08594 16.56 0.01
54545.17237 16.372 0.01
54547.08113 16.304 0.01
54548.06505 16.279 0.01
54549.0738 16.316 0.01
54551.17546 16.419 0.009
54552.17542 16.473 0.009
54558.04675 16.923 0.009
54560.09873 17.138 0.013
54562.09973 17.394 0.013
54564.09826 17.633 0.016
54566.11756 17.897 0.016
54568.09219 18.171 0.016
54569.20866 18.276 0.02
54570.04069 18.381 0.024
54571.02038 18.502 0.027
54573.04883 18.67 0.036
54574.11927 18.807 0.058
54575.09126 18.979 0.052
54576.04778 19.099 0.069
54582.06776 19.47 0.035
54589.05373 19.775 0.055
54592.02443 19.888 0.041
54595.13681 19.909 0.054
54605.98527 20.582 0.302
54617.99654 20.403 0.126
54643.94839 20.767 0.173
54645.94565 20.835 0.129
filter BCSP9844
54540.07837 16.487 0.007
54541.16419 16.242 0.009
54542.04857 16.104 0.006
54543.08594 15.97 0.005
54545.17237 15.777 0.007
54547.08113 15.684 0.007
54548.06505 15.668 0.005
54549.0738 15.667 0.006
54551.17546 15.703 0.005
54552.17542 15.728 0.005
54558.04675 16.004 0.006
54560.09873 16.148 0.006
54562.09973 16.332 0.006
54564.09826 16.534 0.005
54566.11756 16.756 0.007
54568.09219 16.966 0.007
54569.20866 17.079 0.006
54570.04069 17.162 0.007
54571.02038 17.255 0.009
54573.04883 17.457 0.009
54574.11927 17.552 0.012
54575.09126 17.681 0.011
54576.04778 17.754 0.014
54582.06776 18.212 0.009
54589.05373 18.537 0.012
54592.02443 18.639 0.013
54595.13681 18.735 0.013
54605.98527 18.937 0.11
54617.99654 19.055 0.016
54625.97257 19.185 0.019
54643.94839 19.435 0.024
54645.94565 19.469 0.02
filter VCSP9844
54539.30569 16.532 0.008
54540.07837 16.343 0.006
54541.16419 16.135 0.008
54542.04857 15.977 0.007
54543.08594 15.85 0.007
54545.17237 15.655 0.008
54547.08113 15.553 0.009
54548.06505 15.522 0.004
54549.0738 15.504 0.006
54551.17546 15.489 0.007
54552.17542 15.507 0.004
54558.04675 15.685 0.006
54560.09873 15.796 0.008
54562.09973 15.913 0.009
54564.09826 16.045 0.005
54566.11756 16.16 0.009
54568.09219 16.251 0.007
54569.20866 16.303 0.006
54571.02038 16.39 0.008
54573.04883 16.482 0.006
54574.11927 16.546 0.007
54575.09126 16.601 0.011
54576.04778 16.645 0.008
54582.06776 17.009 0.007
54589.05373 17.436 0.008
