SN2006D 0.009641 193.141 -9.77521944444445
filter u
53818.30872 17.3 0.012
53819.29685 17.354 0.01
53824.26696 17.546 0.009
53828.3422 17.684 0.005
53831.22915 17.794 0.014
53835.24086 17.94 0.013
53840.17409 18.087 0.019
53845.17972 18.222 0.016
53850.18673 18.428 0.016
53858.12213 18.662 0.015
53861.11803 18.731 0.019
53862.18779 18.768 0.019
53870.15149 18.973 0.028
filter Y
53753.37128 14.459 0.006
53756.36561 14.565 0.006
53758.36933 14.764 0.005
53773.22236 15.233 0.013
53776.3584 14.993 0.011
53779.39309 14.829 0.016
53782.36039 14.683 0.012
53786.37192 14.808 0.004
53789.33892 15 0.01
53796.34628 15.447 0.013
53800.35524 15.708 0.018
53803.37611 15.876 0.022
53807.27726 16.124 0.018
53813.28595 16.438 0.019
53817.3623 16.657 0.019
53835.24086 17.537 0.013
53845.17972 17.944 0.017
filter J
53753.37128 14.395 0.006
53756.36561 14.421 0.007
53758.36933 14.622 0.005
53773.22236 16.121 0.006
53776.3584 16.04 0.026
53779.39309 15.921 0.025
53782.36039 15.836 0.023
53786.37192 15.959 0.005
53789.33892 16.338 0.019
53796.34628 16.988 0.021
53803.37611 17.62 0.076
53807.27726 17.887 0.085
53813.28595 18.216 0.052
53817.3623 18.576 0.104
53835.24086 19.646 0.075
53845.17972 19.913 0.095
filter H
53753.37128 14.533 0.007
53756.36561 14.597 0.008
53758.36933 14.85 0.007
53773.22236 14.944 0.005
53776.3584 14.904 0.013
53779.39309 14.892 0.02
53786.37192 15.239 0.005
53789.33892 15.485 0.043
53796.34628 15.888 0.018
53800.35524 16.077 0.022
53803.37611 16.295 0.043
53807.27726 16.459 0.037
53813.28595 16.688 0.03
53817.3623 16.97 0.086
53835.24086 17.791 0.029
53845.17972 18.392 0.053
filter K
53753.37128 14.538 0.015
53756.36561 14.532 0.015
53758.36933 14.665 0.014
53773.22236 14.922 0.01
53835.24086 17.713 0.061
53845.17972 17.868 0.126
