Filter,MJD,Mag,Sigma
i,53255.15693,18.1075895889,0.009
i,53256.12505,17.8496678427,0.009
i,53257.13522,17.6735093782,0.006
i,53258.11285,17.5295675723,0.008
i,53259.1096,17.4487582944,0.007
i,53260.11881,17.4222394515,0.006
i,53261.08175,17.405208734,0.009
i,53262.05622,17.4220007366,0.009
i,53263.07823,17.441460234,0.011
i,53264.08895,17.4778699255,0.009
i,53265.13585,17.4713262745,0.008
i,53266.1111,17.4835924518,0.007
i,53267.10442,17.4906648262,0.011
i,53268.11534,17.5588040428,0.011
i,53271.08196,17.8277149954,0.01
i,53272.12933,17.977847193,0.012
i,53273.16648,18.0533925062,0.013
i,53274.11662,18.1151321226,0.016
i,53275.15802,18.141500062,0.019
i,53276.11428,18.1578204132,0.02
i,53277.08465,18.1433542785,0.027
i,53278.09321,18.1029481829,0.016
i,53279.10095,18.0624361063,0.015
i,53280.09097,18.0315356672,0.012
i,53281.07873,17.9900677784,0.011
i,53282.07245,17.9698591168,0.011
i,53287.09229,17.8900463758,0.008
i,53289.10146,17.9472804212,0.008
i,53290.08927,18.0344219032,0.008
i,53291.07325,18.1408018459,0.01
i,53292.07637,18.2201457397,0.01
i,53294.0751,18.4061591655,0.011
i,53295.10402,18.4791901468,0.011
i,53300.07439,18.7612501007,0.013
i,53301.05999,18.8041995015,0.016
i,53302.07517,18.901700321,0.015
i,53303.06941,18.8951821318,0.022
i,53305.0899,18.9649564353,0.023
i,53307.12362,19.1407938264,0.035
i,53308.08351,19.1548971301,0.025
i,53309.07455,19.2389203242,0.02
i,53310.07442,19.2293275443,0.02
i,53311.07992,19.257644702,0.017
i,53312.05273,19.2549830741,0.028
i,53321.06282,19.6472235474,0.025
i,53329.053,19.9279475376,0.037
r,53255.15693,17.8344606226,0.005
r,53256.12505,17.6205842432,0.007
r,53257.13522,17.4363555262,0.005
r,53258.11285,17.287779407,0.005
r,53259.1096,17.1613532502,0.005
r,53260.11881,17.0622032348,0.003
r,53261.08175,17.0031259441,0.007
r,53262.05622,16.9521865822,0.004
r,53263.07823,16.9179595439,0.009
r,53264.08895,16.8819077516,0.007
r,53265.13585,16.8691124172,0.005
r,53266.1111,16.8679631967,0.004
r,53267.10442,16.8888069223,0.007
r,53268.11534,16.9038450365,0.008
r,53271.08196,17.1022550259,0.005
r,53272.12933,17.1888123687,0.006
r,53273.16648,17.2677401891,0.008
r,53274.11662,17.3317204341,0.009
r,53275.15802,17.4238465555,0.011
r,53276.11428,17.4555120875,0.011
r,53277.08465,17.4655257266,0.017
r,53278.09321,17.5239134227,0.01
r,53279.10095,17.5455495451,0.009
r,53280.09097,17.5522955776,0.007
r,53281.07873,17.5729660001,0.008
r,53282.07245,17.5841980117,0.008
r,53287.09229,17.7472305842,0.005
r,53289.10146,17.878142134,0.006
r,53290.08927,17.9845121035,0.006
r,53291.07325,18.0655134845,0.007
r,53292.07637,18.1452453057,0.006
r,53294.0751,18.3090419493,0.009
r,53295.10402,18.3767908224,0.008
r,53300.07439,18.617668165,0.01
r,53301.05999,18.674886139,0.012
r,53302.07517,18.6893729702,0.013
r,53303.06941,18.7234986155,0.017
r,53305.0899,18.8327040239,0.019
r,53307.12362,18.9280228875,0.019
r,53308.08351,18.9438680705,0.016
r,53309.07455,18.9740825691,0.012
r,53310.07442,18.9936504545,0.01
r,53311.07992,19.0349263412,0.01
r,53312.05273,19.0855324367,0.012
r,53321.06282,19.4077446895,0.011
r,53329.053,19.6671807877,0.022
B,53255.15693,18.0165915847,0.006
B,53256.12505,17.7875089992,0.007
B,53257.13522,17.587156372,0.007
B,53258.11285,17.4435153225,0.009
B,53259.1096,17.2980194303,0.005
B,53260.11881,17.2051238333,0.003
B,53261.08175,17.1386685488,0.006
B,53262.05622,17.1094971836,0.005
B,53263.07823,17.0865797945,0.007
B,53264.08895,17.0779856738,0.005
B,53265.13585,17.1094562486,0.005
B,53266.1111,17.1259857664,0.004
B,53267.10442,17.1646105027,0.006
B,53268.11534,17.2285813725,0.005
B,53269.09396,17.3252106289,0.009
B,53270.08416,17.3837401698,0.003
B,53271.08196,17.4777875514,0.007
B,53272.12933,17.5808348853,0.008
B,53273.16648,17.7014983587,0.01
B,53274.11662,17.8049691716,0.013
B,53275.15802,17.9151829806,0.016
B,53276.11428,18.0751760468,0.012
B,53277.08465,18.1591331684,0.018
B,53278.09321,18.275727691,0.016
B,53279.10095,18.4308582122,0.016
B,53280.09097,18.5411345445,0.016
B,53281.07873,18.664131011,0.011
B,53287.09229,19.2588761003,0.013
B,53289.10146,19.4639351222,0.014
B,53290.08927,19.5298928439,0.022
B,53291.07325,19.6069692964,0.018
B,53292.07637,19.7088501668,0.02
B,53294.0751,19.7996904005,0.019
B,53295.10402,19.8354741675,0.018
B,53300.07439,20.0364486541,0.036
B,53301.05999,20.0392116358,0.071
B,53302.07517,20.1533064465,0.08
B,53303.06941,20.0166266143,0.097
B,53310.07442,20.2387749872,0.044
B,53321.06282,20.3685352003,0.031
B,53329.053,20.5251515259,0.09
V,53255.15693,17.8491994444,0.011
V,53256.12505,17.6375260828,0.007
V,53257.13522,17.4616952885,0.007
V,53258.11285,17.3253491666,0.005
V,53259.1096,17.2027192572,0.005
V,53260.11881,17.1039326189,0.003
V,53261.08175,17.0204768253,0.006
V,53262.05622,16.9756680145,0.004
V,53263.07823,16.9336043112,0.007
V,53264.08895,16.9026931742,0.007
V,53265.13585,16.8854222362,0.006
V,53266.1111,16.8914775652,0.004
V,53267.10442,16.9046894288,0.007
V,53268.11534,16.9271652581,0.004
V,53270.08416,16.9866117468,0.003
V,53271.08196,17.0334484449,0.006
V,53272.12933,17.0925719343,0.007
V,53273.16648,17.1526115099,0.008
V,53274.11662,17.2347946826,0.008
V,53275.15802,17.2838517451,0.012
V,53276.11428,17.3632299614,0.014
V,53277.08465,17.425792785,0.012
V,53278.09321,17.5055956467,0.011
V,53279.10095,17.5640919608,0.009
V,53280.09097,17.6373048794,0.009
V,53281.07873,17.7149974718,0.008
V,53287.09229,18.0394000194,0.008
V,53289.10146,18.2260654216,0.009
V,53290.08927,18.3020246835,0.01
V,53291.07325,18.3947333219,0.01
V,53292.07637,18.4857076567,0.011
V,53294.0751,18.6187310091,0.01
V,53295.10402,18.7052397219,0.01
V,53300.07439,18.8815763013,0.016
V,53301.05999,18.9434686211,0.025
V,53302.07517,18.9314989885,0.027
V,53303.06941,19.0282922553,0.035
V,53305.0899,19.0280976962,0.027
V,53308.08351,19.1348987689,0.028
V,53309.07455,19.1140935606,0.026
V,53310.07442,19.2010220186,0.017
V,53311.07992,19.2305462882,0.014
V,53321.06282,19.5112507358,0.02
V,53329.053,19.6631241854,0.036
