Filter,MJD,Mag,Sigma
i,54539.30569,16.732068794,0.007
i,54540.07837,16.5124260299,0.009
i,54541.16419,16.292485566,0.009
i,54542.04857,16.1687080311,0.011
i,54543.08594,16.0808689327,0.008
i,54545.17237,15.9784177539,0.01
i,54547.08113,15.9908607302,0.014
i,54548.06505,15.9946664477,0.006
i,54549.0738,16.0418967407,0.007
i,54551.17546,16.0999841696,0.008
i,54552.17542,16.1462112206,0.006
i,54558.04675,16.4282152032,0.012
i,54560.09873,16.6250413327,0.012
i,54562.09973,16.7786178264,0.012
i,54564.09826,16.9205939408,0.009
i,54566.11756,16.9433622104,0.009
i,54568.09219,16.9012254512,0.011
i,54569.20866,16.8604622823,0.009
i,54571.02038,16.7998891765,0.011
i,54573.04883,16.7313140789,0.009
i,54574.11927,16.7192352514,0.008
i,54575.09126,16.6583474628,0.014
i,54576.04778,16.6548018378,0.011
i,54582.06776,16.682523839,0.008
i,54589.05373,17.1446297998,0.009
i,54592.02443,17.3155858864,0.011
i,54595.13681,17.4756576969,0.009
i,54605.98527,17.9209899862,0.015
i,54617.99654,18.445692445,0.022
i,54625.97257,18.6540716883,0.022
i,54643.94839,19.172,0.049
i,54645.94565,19.204,0.033
r,54539.30569,16.4533764285,0.005
r,54540.07837,16.2497969199,0.009
r,54541.16419,16.0409653868,0.008
r,54542.04857,15.9209162424,0.008
r,54543.08594,15.7952647851,0.007
r,54545.17237,15.6266077916,0.008
r,54547.08113,15.5517987329,0.01
r,54548.06505,15.5014954154,0.005
r,54549.0738,15.4885487701,0.007
r,54551.17546,15.4649325599,0.005
r,54552.17542,15.4731830918,0.005
r,54558.04675,15.7060072686,0.009
r,54560.09873,15.8775263587,0.009
r,54562.09973,16.0297667972,0.01
r,54564.09826,16.1680421513,0.007
r,54566.11756,16.2436055244,0.008
r,54568.09219,16.2790721045,0.008
r,54569.20866,16.2995893859,0.005
r,54571.02038,16.3059544194,0.009
r,54573.04883,16.3107317885,0.005
r,54574.11927,16.3387501732,0.006
r,54575.09126,16.3241328356,0.01
r,54576.04778,16.3619424927,0.008
r,54582.06776,16.5964473264,0.006
r,54589.05373,17.0664354324,0.007
r,54592.02443,17.1976237572,0.008
r,54595.13681,17.3413157708,0.009
r,54605.98527,17.7471862747,0.067
r,54617.99654,18.1207491925,0.013
r,54625.97257,18.3973757374,0.016
r,54643.94839,18.855,0.031
r,54645.94565,18.833,0.025
B,54540.07837,16.5129186489,0.007
B,54541.16419,16.2596136232,0.009
B,54542.04857,16.1199162666,0.006
B,54543.08594,15.9831823601,0.005
B,54545.17237,15.7908704758,0.007
B,54547.08113,15.6992894622,0.007
B,54548.06505,15.6829060979,0.005
B,54549.0738,15.6809090427,0.006
B,54551.17546,15.7148351268,0.005
B,54552.17542,15.7383996578,0.005
B,54558.04675,16.0085842174,0.006
B,54560.09873,16.1495590428,0.006
B,54562.09973,16.3323966874,0.006
B,54564.09826,16.5309137493,0.005
B,54566.11756,16.7403680479,0.007
B,54568.09219,16.9400224323,0.007
B,54569.20866,17.0490708485,0.006
B,54570.04069,17.1291677573,0.007
B,54571.02038,17.2183876814,0.009
B,54573.04883,17.4140799675,0.009
B,54574.11927,17.5072282298,0.012
B,54575.09126,17.6360087199,0.011
B,54576.04778,17.7100391097,0.014
B,54582.06776,18.1601381755,0.009
B,54589.05373,18.4866469556,0.012
B,54592.02443,18.5943692467,0.013
B,54595.13681,18.6997486414,0.013
B,54605.98527,18.8991817601,0.11
B,54617.99654,19.023329009,0.016
B,54625.97257,19.1517931951,0.019
B,54643.94839,19.435,0.024
B,54645.94565,19.469,0.02
V,54539.30569,16.5405518703,0.008
V,54540.07837,16.3338696847,0.006
V,54541.16419,16.1210929816,0.008
V,54542.04857,15.9646242136,0.007
V,54543.08594,15.8420941934,0.007
V,54545.17237,15.6475315852,0.008
V,54547.08113,15.544244442,0.009
V,54548.06505,15.5124671382,0.004
V,54549.0738,15.4934549137,0.006
V,54551.17546,15.4758222877,0.007
V,54552.17542,15.4924436438,0.004
V,54558.04675,15.6686010548,0.006
V,54560.09873,15.7802046264,0.008
V,54562.09973,15.896957796,0.009
V,54564.09826,16.0266490222,0.005
V,54566.11756,16.1423020144,0.009
V,54568.09219,16.2307703077,0.007
V,54569.20866,16.2800629628,0.006
V,54571.02038,16.3614150979,0.008
V,54573.04883,16.4454779246,0.006
V,54574.11927,16.5043761415,0.007
V,54575.09126,16.5548992155,0.011
V,54576.04778,16.5947011534,0.008
V,54582.06776,16.9481182451,0.007
V,54589.05373,17.3780184067,0.008
V,54592.02443,17.4793047152,0.009
V,54595.13681,17.6150333875,0.007
V,54605.98527,17.899354208,0.014
V,54617.99654,18.2414437139,0.012
V,54625.97257,18.4365899699,0.012
V,54643.94839,18.91,0.02
V,54645.94565,18.897,0.018
