Filter,MJD,Mag,Sigma
i,53815.12534,17.1239325893,0.01
i,53818.18473,16.291308962,0.01
i,53819.21164,16.1206090056,0.01
i,53823.15933,15.8314911878,0.008
i,53824.15863,15.824935267,0.007
i,53828.01412,15.9517048694,0.003
i,53831.13384,16.0810320264,0.009
i,53832.13708,16.1135377002,0.008
i,53834.22289,16.2405404256,0.009
i,53835.06483,16.3070689257,0.006
i,53838.15572,16.5809717621,0.008
i,53840.11692,16.7046445242,0.008
i,53841.17657,16.7475619246,0.008
i,53845.05674,16.709886475,0.007
i,53850.11295,16.5764765867,0.007
i,53858.06043,16.5256764055,0.008
i,53861.05604,16.6703807146,0.007
i,53866.04514,17.0098749648,0.011
i,53867.11295,17.0554728932,0.01
i,53870.06329,17.226119963,0.008
i,53871.03191,17.2657652627,0.009
i,53872.02929,17.3245706258,0.013
i,53890.05429,18.0456592191,0.012
i,53890.98794,18.0597596872,0.015
i,53892.00372,18.0961516023,0.007
i,53898.00704,18.3104636298,0.009
r,53815.12534,16.8315024759,0.01
r,53818.18473,16.0215514742,0.008
r,53819.21164,15.8452469419,0.008
r,53823.15933,15.4506314887,0.006
r,53824.15863,15.3918210037,0.006
r,53828.01412,15.3101481241,0.002
r,53831.13384,15.3555547468,0.009
r,53832.13708,15.3947386709,0.006
r,53834.22289,15.4933995344,0.006
r,53835.06483,15.5371253846,0.005
r,53838.15572,15.7778664148,0.006
r,53840.11692,15.9165031328,0.005
r,53841.17657,15.9616564949,0.006
r,53845.05674,16.0945602549,0.006
r,53850.11295,16.1342522735,0.006
r,53858.06043,16.4025935808,0.007
r,53861.05604,16.5765975107,0.007
r,53866.04514,16.8880316239,0.008
r,53867.11295,16.9414829896,0.009
r,53870.06329,17.0850971289,0.007
r,53871.03191,17.1160349982,0.007
r,53872.02929,17.1537327109,0.01
r,53890.05429,17.7974282082,0.009
r,53890.98794,17.8196345077,0.011
r,53892.00372,17.846975856,0.004
r,53898.00704,18.0608056234,0.005
B,53815.12534,16.776295908,0.009
B,53816.27134,16.3964751013,0.008
B,53818.18473,15.9108178475,0.009
B,53819.21164,15.7210132347,0.009
B,53821.09793,15.4612951132,0.004
B,53823.15933,15.3109711647,0.007
B,53824.15863,15.2380580216,0.006
B,53828.01412,15.2103967219,0.004
B,53831.13384,15.3018640516,0.008
B,53832.13708,15.3504383904,0.006
B,53834.22289,15.4811414254,0.007
B,53835.06483,15.5464997158,0.007
B,53838.15572,15.8148054792,0.011
B,53840.11692,15.9833116131,0.008
B,53841.17657,16.101807759,0.007
B,53845.05674,16.5058468001,0.008
B,53850.11295,17.0333890183,0.007
B,53858.06043,17.6667591521,0.009
B,53861.05604,17.8025188729,0.012
B,53866.04514,18.0147173127,0.015
B,53867.11295,18.0920142136,0.02
B,53870.06329,18.1560296393,0.013
B,53871.03191,18.1809305879,0.013
B,53872.02929,18.2130253735,0.013
B,53890.05429,18.5098949243,0.016
B,53890.98794,18.5495556064,0.02
B,53892.00372,18.5739582805,0.011
B,53898.00704,18.6333629198,0.01
V,53815.12534,16.7580754591,0.01
V,53818.18473,15.9731199015,0.008
V,53819.21164,15.7916252986,0.009
V,53823.15933,15.3669958573,0.007
V,53824.15863,15.2903301524,0.006
V,53828.01412,15.20307366,0.002
V,53831.13384,15.2501133915,0.008
V,53832.13708,15.2819598057,0.006
V,53834.22289,15.3599308241,0.006
V,53835.06483,15.3918039739,0.006
V,53838.15572,15.5604849251,0.006
V,53840.11692,15.6795624492,0.007
V,53841.17657,15.7304577439,0.006
V,53845.05674,15.9485486234,0.006
V,53850.11295,16.2143413822,0.005
V,53858.06043,16.6610502011,0.009
V,53861.05604,16.823818163,0.008
V,53866.04514,17.0805745206,0.009
V,53867.11295,17.1353064138,0.011
V,53870.06329,17.2296723151,0.01
V,53871.03191,17.2584676846,0.011
V,53872.02929,17.2926019261,0.012
V,53890.05429,17.7974711087,0.011
V,53890.98794,17.8168130941,0.013
V,53892.00372,17.8350332249,0.006
V,53898.00704,18.0073707946,0.007
