Filter,MJD,Mag,Sigma
B,53428.12107,17.592036496,0.024
B,53429.13702,17.664478813,0.028
B,53430.03877,17.7460143404,0.021
B,53431.10669,17.8277171228,0.02
B,53432.14045,17.9429723133,0.011
B,53436.14998,18.2087114458,0.014
B,53438.13691,18.3441063163,0.017
B,53444.15519,18.6825155811,0.02
B,53445.153,18.6979771884,0.019
B,53446.15492,18.750794396,0.022
B,53453.06684,19.0283608999,0.063
B,53454.09393,19.0149253754,0.052
B,53455.0648,19.0531607388,0.055
B,53456.079,19.1067817224,0.045
B,53457.08022,19.1628824852,0.036
B,53458.06476,19.104818582,0.03
B,53459.05536,19.1318263752,0.025
B,53460.05286,19.1653218654,0.016
B,53464.0396,19.2241665302,0.019
B,53465.0998,19.223883356,0.019
B,53466.09357,19.2875123143,0.021
B,53472.03855,19.3440287091,0.017
B,53474.01907,19.4207714025,0.022
B,53476.00605,19.3491551981,0.03
B,53478.04325,19.4240088522,0.035
B,53479.03903,19.4282773774,0.052
B,53479.99685,19.4465592398,0.04
V,53397.20395,16.4854986077,0.008
V,53398.20613,16.356672349,0.008
V,53399.18601,16.2678022859,0.007
V,53400.19425,16.1866621159,0.006
V,53401.1772,16.1340042975,0.006
V,53402.17183,16.0898236886,0.006
V,53403.2172,16.0499199323,0.006
V,53404.20995,16.0256822941,0.007
V,53406.2174,15.9862342723,0.009
V,53407.2611,16.0050876527,0.009
V,53408.22223,16.0090721308,0.009
V,53409.22179,16.016224974,0.008
V,53410.23745,16.0237024409,0.008
V,53411.22331,16.0428746622,0.008
V,53412.21214,16.0586518431,0.009
V,53413.16822,16.1019674868,0.009
V,53414.16681,16.1313759995,0.009
V,53415.22145,16.167223853,0.009
V,53416.15224,16.2172041098,0.009
V,53417.20348,16.2538891654,0.009
V,53418.16875,16.3155401448,0.009
V,53419.168,16.3769708239,0.009
V,53420.23524,16.4249961689,0.01
V,53421.20756,16.4887211888,0.012
V,53422.13321,16.5304587025,0.023
V,53424.16627,16.6018536075,0.034
V,53425.15898,16.7110032784,0.025
V,53426.16586,16.7788873726,0.016
V,53427.16553,16.8491720806,0.016
V,53428.12107,16.865125689,0.013
V,53429.13702,16.8889974781,0.015
V,53430.03877,16.9695683219,0.014
V,53431.10669,17.0109979713,0.012
V,53432.14045,17.0642612967,0.013
V,53436.14998,17.2509112707,0.012
V,53438.13691,17.341011674,0.012
V,53444.15519,17.6811466111,0.013
V,53445.153,17.7460921012,0.013
V,53446.15492,17.8044887113,0.013
V,53453.06684,18.0526672518,0.028
V,53454.09393,18.0767558955,0.027
V,53455.0648,18.0802691022,0.029
V,53456.079,18.1279319424,0.025
V,53457.08022,18.204242487,0.022
V,53458.06476,18.1792488965,0.02
V,53459.05536,18.2303932753,0.016
V,53460.05286,18.2411172187,0.015
V,53464.0396,18.3568105879,0.015
V,53465.0998,18.387395939,0.014
V,53466.09357,18.4085596093,0.017
V,53472.03855,18.5397122882,0.014
V,53474.01907,18.5631224139,0.016
V,53476.00605,18.6344767101,0.021
V,53478.04325,18.6322522213,0.027
V,53479.03903,18.7102042017,0.045
V,53479.99685,18.7543280271,0.03
