Filter,MJD,Mag,Sigma
B,53291.03176,16.5694924156,0.017
B,53292.03583,16.6960180928,0.017
B,53293.99236,16.9534974042,0.017
B,53294.98372,17.0666016993,0.017
B,53298.01036,17.4128824617,0.017
B,53299.99014,17.6023795302,0.017
B,53300.9911,17.6686584916,0.017
B,53301.9906,17.7595056848,0.017
B,53302.9977,17.8745919193,0.017
B,53304.00034,17.9060934055,0.036
B,53304.99323,17.9541024676,0.028
B,53307.02942,18.1202470386,0.033
B,53308.00086,18.1692030139,0.017
B,53308.99351,18.23453572,0.017
B,53310.00069,18.2845678047,0.017
B,53310.99852,18.3250074512,0.017
B,53329.01678,18.8369546713,0.035
B,53341.0224,18.9582569094,0.038
V,53266.00009,17.302678386,0.016
V,53266.99341,16.921608972,0.016
V,53267.99226,16.6179989859,0.016
V,53269.0416,16.3198203919,0.017
V,53270.03686,16.104131754,0.016
V,53270.99156,15.9294187458,0.016
V,53271.99631,15.7745272441,0.016
V,53273.00831,15.6633942124,0.017
V,53273.98781,15.5692892418,0.016
V,53274.98553,15.4935945053,0.017
V,53276.05834,15.4387133161,0.017
V,53276.98285,15.3897289291,0.016
V,53277.98707,15.3598145532,0.016
V,53278.99536,15.3505988812,0.016
V,53279.98635,15.3457531929,0.016
V,53280.98502,15.3500482548,0.016
V,53285.04721,15.4528914846,0.019
V,53287.04681,15.5471958352,0.017
V,53288.0403,15.6130462658,0.017
V,53289.05924,15.6737066494,0.016
V,53290.04845,15.7510280441,0.016
V,53291.03176,15.8308244574,0.016
V,53292.03583,15.9086641647,0.016
V,53293.99236,16.0471054327,0.017
V,53294.98372,16.1278127683,0.016
V,53298.01036,16.3140936186,0.016
V,53299.99014,16.4358542112,0.016
V,53300.9911,16.4942376269,0.017
V,53301.9906,16.5536528966,0.016
V,53302.9977,16.6197564983,0.016
V,53304.00034,16.7716364203,0.034
V,53304.99323,16.7653878189,0.017
V,53307.02942,16.9200972662,0.017
V,53308.00086,16.9932902841,0.016
V,53308.99351,17.0594553315,0.016
V,53310.00069,17.132329539,0.016
V,53310.99852,17.1857712032,0.016
V,53329.01678,17.8040790401,0.016
V,53341.0224,18.0632792533,0.025
